region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13215.Ruminococcaceae_UCG.005	0.053965765	0.052364814	0.078236884	0.065791452	0.06155739	0.057615844	0.089434206	0.032710684	0.040558389	0.043441353	0.048925318	0.054527296	0.06540893	0.043566255	0.065500583	0.066876183	0.006885208	0.034786537	0.043283425	0.043171655	0.045705211	0.049617524	0.059454384	0.033208483	0.045690904	0.070904133	0.026884525	0.031752254	0.093490318	0.046347607	0.049049866	0.04645521	0.047405722	0.068556329	0.062462849	0.036298062	0.070256954
ASV4033.Prevotellaceae_UCG.004	0.074062459	0.040338302	0.057479591	0.071754272	0.054631688	0.040611168	0.064032208	0.061789251	0.052280148	0.080473674	0.071992286	0.049554814	0.038180099	0.045945178	0.036814926	0.0664555	0.018590062	0.048430088	0.06824652	0.044203646	0.045647466	0.020723227	0.054265098	0.036848491	0.06892848	0.088007832	0.03676709	0.077662739	0.028633389	0.033396818	0.044938495	0.0380773	0.031548508	0.044166886	0.032581236	0.025857887	0.036032805
ASV13216.Ruminococcaceae_UCG.005	0.042231805	0.011606634	0.036805884	0.03687929	0.02806001	0.026707345	0.04804812	0.009685649	0.020233335	0.041552599	0.026442003	0.021696169	0.031708895	0.03618094	0.03858071	0.050580913	0.00925678	0.031669302	0.042782581	0.023191148	0.034560416	0.03515299	0.024266087	0.011170606	0.018071776	0.037829522	0.006668264	0.009269721	0.036991191	0.035559378	0.024657202	0.032803436	0.024698381	0.04646468	0.03369576	0.026364077	0.023341025
ASV13217.Ruminococcaceae_UCG.005	0.000940808	0.002939148	0.003064835	0.004910558	0.003810129	0.003075846	0.00184524	0.002486271	0.002714899	0.001061098	0.00253762	0.004398734	0.00328538	0.002911518	0.002665334	0.003699534	0.000535516	0.002349221	0.000500844	0.002608646	0.001241519	0.001251739	0.002125136	0.002941021	0.002199301	0.001426474	0.003876898	0.002213665	0.00202468	0.000638938	0.000958952	0.001220523	0.002749532	0.001444328	0.002006142	0.001750575	0.001886616
ASV13218.Ruminococcaceae_UCG.005	0.007317392	0.009807156	0.011395614	0.007215513	0.006628036	0.007201981	0.005727432	0.006377827	0.005980115	0.007130579	0.00728297	0.00541873	0.00721788	0.006746201	0.007596202	0.00806721	0.000841525	0.002981703	0.003215943	0.005073959	0.003955536	0.003094576	0.007017891	0.005829289	0.0058989	0.006642892	0.004497202	0.005522632	0.005613449	0.004017939	0.004497156	0.005756046	0.003745052	0.004562763	0.005832673	0.004724443	0.004163029
ASV13219.Ruminococcaceae_UCG.005	0.010453417	0.018564616	0.016076454	0.011624994	0.013375139	0.009577634	0.018021041	0.016214814	0.009080236	0.013136394	0.015606364	0.009328715	0.013290856	0.012285187	0.011860736	0.011469791	0.003366102	0.006324825	0.009199705	0.005991285	0.006669554	0.012100139	0.008722942	0.008216396	0.007399199	0.007132368	0.009572413	0.004116033	0.010766308	0.005308103	0.010526432	0.017810593	0.011140345	0.013179491	0.01312661	0.007930314	0.014095048
ASV4114.Alistipes	0.008807004	0.012476382	0.006296843	0.006063036	0.006191459	0.007677111	0.014857773	0.012150301	0.019389515	0.008722226	0.013906159	0.008414968	0.008313007	0.015267718	0.013060137	0.008982814	0.000841525	0.009577592	0.013760017	0.010434583	0.009268081	0.042802503	0.012108333	0.019927727	0.026204075	0.00983148	0.015507592	0.015449535	0.003281709	0.006008478	0.005709625	0.003631432	0.00886487	0.007352941	0.01299039	0.009469977	0.002635026
ASV4035.Prevotellaceae_UCG.004	0.000235202	0.000179948	0.000111449	0.000150323	0.000119067	0.000325089	0.000167749	0.000151338	0.000403566	0.00010611	0.000177633	6.37498E-05	0.000398228	0.000248544	0.001266034	0.000296953	7.65023E-05	9.03546E-05	0.000131801	8.59993E-05	8.66176E-05	6.9541E-05	2.47109E-05	0.000211015	0.000272782	0.00016782	8.45869E-05	0.000172943	8.63608E-05	0.000122873	0.000121247	7.53409E-05	0.000142217	1.64128E-05	7.43016E-05	0.00016873	0.000124735
ASV4036.Prevotellaceae_UCG.004	0.003815497	0.001769487	0.0028698	0.001954202	0.000615177	0.001725475	0.002636056	0.002832187	0.001284074	0.00205853	0.003324282	0.000318749	0.001742247	0.000923164	0.001932367	0.002400366	0.000803274	0.00135532	0.000342682	0.000458663	0.001992204	0.003963839	0.001062568	0.003837835	0.006308073	0.006936578	0.004158854	0.002571079	0.004740246	0.003612459	0.001763591	0.003028705	0.001540686	0.001034007	0.001225976	0.001349841	0.000374205
ASV11294.Planococcaceae	7.84006E-05	0.000659809	0.00039007	0.005862605	0.000754088	0.000100028	2.39641E-05	0.00869114	0.000201783	0.003650177	0.018956023	0.012877452	9.9557E-05	0	6.66333E-05	0.00024746	0.005852427	0.000180709	0	0	0	6.9541E-05	0.000172976	2.63769E-05	0	0	0	0.000311297	0.002312549	0.003747619	0.001432917	0.000286295	0	0	0.000383891	0.01839158	0
