region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13215.Ruminococcaceae_UCG.005	0.060874799	0.029856248	0.049620742	0.045862481	0.040498715	0.045321116	0.044589368	0.067531277	5.96576E-05	0.005848351	0.037675268	0.078747424	0.05714438	0.03091241	0.024416104	0.023731569	0.02494267	0.020866066	0.022382559	0.019404576	0.016606656	0.035034902	0.03692198	0.033734456	0.024942122	0.021142129	0.024551071	0.017699603	0.027470347	0.028376871	0.028780216	0.032531094	0.015379985	0.024325106	0.025130639	0.028313053	0.015536224	0.022665181	0.02645641	0.020082763
ASV4033.Prevotellaceae_UCG.004	0.028210273	0.022346111	0.040380637	0.035352329	0.054251343	0.03662451	0.006496297	0.033994891	0	0.002584155	0.025863085	0.057263049	0.033423066	0.018493581	0.0171458	0.01822826	0.030691421	0.029824416	0.020528514	0.027608262	0.041975275	0.017281327	0.029401779	0.013953696	0.045093842	0.052427591	0.038763164	0.020364652	0.016270559	0.013502835	0.010372021	0.012082055	0.018017372	0.019672086	0.017770952	0.011662958	0.014894232	0.013049105	0.008538545	0.012482054
ASV13216.Ruminococcaceae_UCG.005	0.011195827	0.011288242	0.012494828	0.010271285	0.013577435	0.011824093	0.011299007	0.014704919	1.98859E-05	0.00160943	0.008365736	0.015539148	0.01196727	0.009605889	0.007118839	0.006246372	0.007162379	0.005485267	0.006276945	0.003754229	0.004463124	0.009459719	0.012511034	0.007948025	0.005518426	0.004120184	0.005089466	0.003289957	0.006628746	0.005089709	0.00630036	0.008463899	0.003282401	0.003661844	0.004387889	0.004450547	0.003177864	0.003792508	0.005754643	0.005016468
ASV13217.Ruminococcaceae_UCG.005	0.005537721	0.003870254	0.005130327	0.005255076	0.005430974	0.005733725	0.005409368	0.007336084	1.98859E-05	0.000612037	0.004860375	0.007125687	0.004904182	0.003351588	0.002302263	0.00195054	0.003581189	0.003032057	0.002457167	0.002255627	0.002806566	0.003704196	0.006348883	0.002947021	0.004062377	0.002775886	0.003072885	0.001323335	0.003145347	0.00376499	0.00415738	0.003876595	0.002035375	0.002656902	0.002692569	0.003219545	0.002166726	0.00271407	0.003213632	0.002297103
ASV13218.Ruminococcaceae_UCG.005	0.01187801	0.005805381	0.010619225	0.010203037	0.008759636	0.008806343	0.004322439	0.009792363	1.98859E-05	0.001201405	0.005066572	0.007039835	0.009248647	0.002932639	0.002877829	0.001857657	0.003612603	0.003776289	0.007661894	0.005237382	0.002601208	0.007600242	0.008419909	0.006876381	0.005081612	0.004783603	0.006401844	0.004098662	0.003865544	0.004346007	0.006021773	0.006041027	0.002436717	0.003069892	0.004647174	0.004450547	0.003675408	0.004493493	0.004670976	0.003209188
ASV13219.Ruminococcaceae_UCG.005	0.009791332	0.009445264	0.0098745	0.011670363	0.008818033	0.008038188	0.009706529	0.012445143	1.98859E-05	0.001201405	0.008100624	0.016912775	0.009435219	0.00930664	0.009027294	0.008336236	0.007445104	0.005099369	0.006165256	0.005793564	0.004928604	0.010020513	0.011186936	0.008461521	0.008415964	0.006651652	0.004033162	0.004539774	0.008745242	0.006321465	0.005400309	0.011048296	0.004515093	0.004267562	0.005903706	0.006470653	0.005440889	0.005410166	0.007641717	0.006823748
ASV4114.Alistipes	0.014365971	0.016402506	0.008274721	0.012728203	0.008263256	0.017914461	0.024847704	0.008842602	0	0.001632098	0.012636974	0.039320055	0.006876516	0.01077296	0.01032989	0.010402879	0.022241071	0.012348742	0.008667099	0.016577317	0.034938324	0.015761279	0.021643919	0.004442857	0.011983285	0.011121004	0.012003457	0.011377003	0.018401752	0.00752998	0.01785102	0.014181877	0.007596824	0.013146845	0.012545375	0.005397472	0.020238821	0.007890574	0.004203879	0.0076176
ASV4035.Prevotellaceae_UCG.004	0.000321027	0.000184298	8.27472E-05	0.000307115	0.00023359	0.000960193	0.001693587	0.000196502	3.97717E-05	2.2668E-05	2.94568E-05	0.001309238	0.000133266	5.98498E-05	0.000242343	2.32207E-05	6.28279E-05	0.000110257	0.000134027	0.000108147	0.000123215	0.000221366	0.000186732	0.000133955	4.36815E-05	0.000174584	3.20092E-05	7.35186E-05	0	0.000278888	0	0.00019383	0.000530344	0	0.000179505	7.89104E-05	4.81495E-05	5.39219E-05	5.60517E-05	3.37809E-05
ASV4036.Prevotellaceae_UCG.004	0.001364366	0.000783266	0.001461867	0.001160212	0.00143074	0.000768155	0.002603574	0.002685531	0	9.06721E-05	0.001561211	0.000686813	0.002318825	0.001047371	0.000817909	0.000487635	0.001413627	0.000744232	0.000558447	0.00185394	0.000835125	0.000487006	0.00353093	0.002344221	0.001077476	0.001937883	0.001888544	0.001672548	0.000220468	0.001138793	0.000385736	0.001356808	0.001003354	0.00108754	0.001017193	0.000789104	0.000722242	0.001366022	0.00085946	0.000608057
ASV11294.Planococcaceae	0.000120385	0.000138223	0.000303406	0.000409486	0.000350385	5.48682E-05	7.58323E-05	0.000262003	0.05359238	0.024300125	0.000471309	0.000128777	0.000293185	0.000239399	0.000181758	0.000441194	0.000219898	5.51283E-05	4.46758E-05	0.000108147	0.000424408	0.001608595	5.09269E-05	2.23259E-05	0.000262089	6.98336E-05	0.00041612	0	0.000146979	0	0	0	4.30009E-05	0.000123897	7.97798E-05	0.000110475	3.20996E-05	7.18959E-05	3.73678E-05	0
ASV11429.Ruminococcaceae	0.011516854	0.008800221	0.006785271	0.007916738	0.008701238	0.00798332	0.00950431	0.01129888	0	0.001156069	0.006509956	0.006996909	0.009142035	0.004698207	0.00578595	0.004992453	0.006816825	0.011383996	0.007550204	0.00559272	0.005544679	0.012396511	0.005992395	0.010091313	0.008605251	0.008484785	0.010883134	0.008583297	0.008671752	0.00718137	0.010372021	0.01192053	0.005661784	0.007406286	0.006920898	0.006170794	0.004895195	0.006794162	0.008052763	0.005236044
ASV11295.Planococcaceae	0.000601926	4.60745E-05	0.001434285	0.002047432	0.001518337	0.000658418	0.000303329	0.000524006	0.082725158	0.02733764	0.001089902	0.000300481	0.000826248	0.000957596	0.000696737	0.002043423	0.00103666	0.000303206	0.00031273	0.000587081	0.001902989	0.028969466	0.000390439	0	0.000101923	0.000541211	0.000320092	0.000110278	0.000249864	0	0.000150009	0	2.86673E-05	0.000908578	3.98899E-05	0.00029986	0.000176548	0.000287584	0.000224207	6.75619E-05
ASV13444.Ruminococcaceae_UCG.010	0.00024077	0.000967564	0.000193077	0.000887221	0.001518337	0.002112425	0.000657213	0.000327504	0	0	0.001001532	0.000944368	0.00101282	0.003650836	0.005604193	0.005154998	0.006251374	0.003831418	0.009582952	0.006705084	0.009884589	0.005047151	0.008793373	0.010024335	0.006741508	0.006738944	0.008642489	0.006598294	0.003013066	0.005926374	0.006450369	0.006428687	0.007768827	0.007130959	0.007419522	0.00697568	0.009212596	0.00709972	0.009285901	0.007769614
ASV4115.Alistipes	0.005216693	0.007003317	0.003806372	0.009588807	0.006044149	0.005212477	0.005080761	0.005109059	0	0.000498697	0.004065041	0.007383242	0.004237853	0.005236855	0.005180091	0.006664345	0.010335187	0.009096171	0.002836911	0.003537936	0.003847049	0.003704196	0.00449854	0.004889375	0.003305232	0.003753557	0.003937134	0.00365755	0.003968429	0.005298875	0.006128922	0.003327411	0.002422383	0.004887047	0.003849376	0.003708789	0.004959394	0.004331728	0.002541011	0.002094418
ASV13445.Ruminococcaceae_UCG.010	0.000802568	0.004330999	0.000992966	0.00317352	0.004292221	0.003593866	0.001036374	0.000556756	0	0	0.003063509	0.002833104	0.002585357	0.005206931	0.004877162	0.006478579	0.008513178	0.005154497	0.007527867	0.005438225	0.00700957	0.007172267	0.00477015	0.007255922	0.008343162	0.008956162	0.008418425	0.006377739	0.015109426	0.01945245	0.015086576	0.024680989	0.012799931	0.019272862	0.017631338	0.013588372	0.011828716	0.013067079	0.012779791	0.00979647
ASV17976.Treponema_2	0.007303371	0.003593808	0.004854503	0.006551783	0.024556178	0.002084991	0.000733045	0.012674396	0	0.000430693	0.003947213	0.002639938	0.011434207	0.000269324	0.000302929	0.000371531	0.000188484	0.00033077	0.000357406	0.000123596	0.000766672	8.85465E-05	0.000356488	0	0.000451375	0.000803087	0.000352101	0.000606528	0.002234079	0.000302129	0.001500086	0.000419964	0.000258005	0.000784681	0.000737963	0.000268295	0.001267936	0.001815371	0.000635253	0.003192298
ASV13446.Ruminococcaceae_UCG.010	0.000842697	0.001428308	0.00079989	0.001194335	0.001751927	0.002002689	0.000278052	0.001080762	0	0	0.001266643	0.001073146	0.00151923	0.005655804	0.006149465	0.00619993	0.005968649	0.003142314	0.00685773	0.006643286	0.006941117	0.004884816	0.006603517	0.012078319	0.006464858	0.007507114	0.007170065	0.004925746	0.004041918	0.014246537	0.009021944	0.007850105	0.011036895	0.009237208	0.013263393	0.01054243	0.010978076	0.009400388	0.01143455	0.008225657
ASV13220.Ruminococcaceae_UCG.005	0.006099518	0.003547733	0.005902634	0.006415287	0.004876197	0.005788593	0.005308258	0.01044737	0	0.001201405	0.003711559	0.010259272	0.007729417	0.00392016	0.003877495	0.003065134	0.004240882	0.00424488	0.00464628	0.002935406	0.001615487	0.005534157	0.008980105	0.003572146	0.004528313	0.004888353	0.004993438	0.002793707	0.002763202	0.003207214	0.004993142	0.005104183	0.002193045	0.004129899	0.003330807	0.003756135	0.00263217	0.003594795	0.004801764	0.002837598
ASV13447.Ruminococcaceae_UCG.010	0.000642055	0.001889053	0.000275824	0.001876813	0.000642373	0.000987627	0.000985819	0.000393005	0	0	0.002061977	0.00184581	0.00109278	0.003740611	0.003241344	0.003181238	0.002952911	0.002094876	0.007907611	0.00716857	0.006927426	0.004324021	0.005551029	0.005559153	0.006246451	0.006634194	0.006849973	0.003970004	0.003321722	0.007925072	0.005764615	0.003682765	0.005604449	0.00367561	0.004427779	0.006896769	0.007254518	0.004924869	0.005231494	0.004205726
ASV1847.Bacteroides	0.003892456	0.002626244	0.004606261	0.002627538	0.01056996	0.005953197	0.004903819	0.008809851	0	0.000612037	0.003858843	0.002554087	0.005917002	0.006164527	0.005422435	0.006362475	0.004994817	0.005512831	0.003685751	0.002533719	0.013868543	0.002892519	0.003734637	0.00196468	0.003305232	0.002985387	0.001952562	0.003253198	0.002675015	0.001557126	0.002164409	0.003295106	0.002967061	0.002216379	0.002453229	0.003045942	0.002295124	0.00280394	0.001401293	0.003901697
ASV15828.Kiritimatiellae_WCHB1.41	0.00076244	0.001290085	0.00137912	0.001808565	0.000671572	0.000521248	0.001921084	0.000524006	0	0	0.003917757	0.00169557	0.00151923	0.006433851	0.007118839	0.007012655	0.002198976	0.005264754	0.018964863	0.028411637	0.014553071	0.024453594	0.009523325	0.020740774	0.026121522	0.020566002	0.002592747	0.014556683	0.013081118	0.014711351	0.008721927	0.014957196	0.011481237	0.008837984	0.01023176	0.009058915	0.013867043	0.017704364	0.011378499	0.009830251
ASV13448.Ruminococcaceae_UCG.010	0.000200642	0.002165499	0.000137912	0.002013308	0.000379584	0.000384077	0.001162761	0.000196502	0	0	0.001237186	0.001287775	0.000426451	0.000538648	0.000575566	0.000905608	0.001664939	0.000275642	0.001630665	0.002085683	0.002080966	0.001224893	0.000967611	0.001652118	0.001732698	0.001623632	0.001312378	0.003951625	0.002160589	0.001626848	0.001671524	0.002067517	0.001720036	0.001624427	0.001116917	0.003235327	0.001621032	0.001527788	0.001121034	0.000979647
ASV5172.Gastranaerophilales	0.001886035	0.002764467	0.001186043	0.000136495	0.005752161	0.008175359	0.000859432	0.001866771	1.98859E-05	0.000136008	0.001620125	0.001888736	0.001359311	0.006284227	0.009905789	0.007291304	0.004366538	0.004520522	0.002725222	0.006241599	0.003983955	0.001136347	0.000984586	0.004331227	0.006333814	0.007000821	0.002816811	0.004098662	0.004365272	0.007065167	0.021322647	0.00377968	0.012140584	0.017084016	0.010371375	0.008553888	0.009501493	0.010155295	0.018011285	0.008259438
ASV13221.Ruminococcaceae_UCG.005	0.003451043	0.00465352	0.004992415	0.005596315	0.00335786	0.003401827	0.004423548	0.005338311	0	0.000634705	0.007246377	0.003197974	0.003838055	0.003441362	0.002635485	0.002020202	0.003486948	0.003142314	0.00232314	0.001730344	0.00169763	0.003748469	0.008793373	0.003304235	0.003654683	0.003736099	0.002080599	0.001837965	0.002983671	0.003509343	0.004414538	0.006008722	0.00177737	0.002422874	0.001954605	0.002367312	0.001604982	0.00298368	0.00315758	0.002280213
ASV17400.Mailhella	0.006460674	0.006220052	0.009902082	0.003583006	0.003620649	0.003538998	0.005333536	0.006713827	1.98859E-05	4.53361E-05	0.005302227	0.004228194	0.005197367	0.01487267	0.013662113	0.017160107	0.005434612	0.004796163	0.002524181	0.002919956	0.004093479	0.005475126	0.002699124	0.001562814	0.006493979	0.003002846	0.003777088	0.006929128	0.004144804	0.003509343	0.004350249	0.006299467	0.005919789	0.006167316	0.005345247	0.005286997	0.006355728	0.005374218	0.003363103	0.003867917
ASV17459.Escherichia.Shigella	0.000160514	0	0	0.000136495	0	8.23023E-05	0	0	5.96576E-05	0.001881446	0	2.14629E-05	0	0.000329174	6.05859E-05	0.000464414	9.42418E-05	0.002260261	0	0.000154495	0.000150596	0	3.39512E-05	0	7.28025E-05	0	0	0	4.40937E-05	0	0	6.46099E-05	1.43336E-05	0	0	0.000394552	0.000160498	8.98699E-05	5.60517E-05	3.37809E-05
ASV9137.Lachnospiraceae	0.001565008	4.60745E-05	0.001710109	0.001126088	0.000992759	0.000905325	0.000252774	0.00173577	3.97717E-05	2.2668E-05	0.000913161	0.001781422	0.001492577	2.99249E-05	0.000121172	6.96621E-05	0.000188484	0.000192949	0.000245717	0	0.000205358	0.000103304	0.000135805	2.23259E-05	0.000189286	3.49168E-05	0.000288083	0.000128658	0.000411541	0.000278888	0.000342877	0.000290745	0.000100335	0.000110131	5.98349E-05	0.000220949	4.81495E-05	0.00017974	0.000298942	8.44523E-05
ASV1848.Bacteroides	0.00329053	0.002165499	0.00435802	0.007029517	0.003299463	0.002990316	0.007001845	0.003766293	0	0.000181344	0.006863438	0.004185268	0.003838055	0.001137146	0.00124201	0.00162545	0.002136148	0.001516029	0.000335068	0.001297758	0.003655381	0.001328198	0.002121953	0.001294903	0.000640662	0.001012588	0.001984572	0.00055139	0.003498097	0.001092312	0.001821533	0.001679858	0.001261359	0.002051183	0.001475926	0.003235327	0.001348185	0.001240204	0.000672621	0.002280213
ASV19333.Akkermansia	0.001364366	0.000552893	0.003751207	0.010749019	0.001751927	0.000877891	0.001289148	0.002783782	0	2.2668E-05	0.002061977	0.006138393	0.003411605	0.003022414	0.001696404	0.00227563	0.003486948	0.003362827	0.008242679	0.000108147	0.005489917	0.004486356	0.002902832	0.002120962	0.002882977	0.0019728	0.005153484	0.000330834	0.001014154	0.005438319	0.002914452	0.002067517	0.004013416	0.003593012	0.004746899	0.002177927	0.00357911	0.003325185	0.002671799	0.003344312
ASV17506.Acinetobacter	0	0	0	0	0	0	0	0.000131002	0.089923837	0.178918735	2.94568E-05	0	0	0	0	0	0	2.75642E-05	0	0	0	2.95155E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1935.Bacteroidales	0.000120385	0.000645042	2.75824E-05	6.82477E-05	0	0	0.000227497	9.82511E-05	0	0	8.83704E-05	4.29258E-05	0.000133266	0.0001197	0.000121172	0.000278649	0.000345553	0.000275642	0	9.2697E-05	0.000219049	8.85465E-05	3.39512E-05	2.23259E-05	5.8242E-05	8.7292E-05	0	0.000110278	0.000661405	0.00034861	2.14298E-05	0.000226135	0.000143336	0.000330392	3.98899E-05	0.000189385	6.41993E-05	0.00026961	0.000112103	8.44523E-05
ASV13222.Ruminococcaceae_UCG.005	0.006420546	0.00165868	0.00573714	0.008019109	0.002598692	0.005294779	0.002578297	0.010349119	0	0.000997393	0.005096029	0.010388049	0.006663291	0.002393991	0.003150465	0.002902589	0.001947664	0.002701287	0.00221145	0.001158713	0.000794053	0.004043624	0.004328784	0.001875377	0.001587094	0.000995129	0.001280369	0.00053301	0.002101798	0.001743051	0.001328647	0.001098369	0.001003354	0.002477939	0.001455981	0.003614097	0.000946939	0.001995111	0.002073914	0.000928976
ASV13449.Ruminococcaceae_UCG.010	0.00329053	0.006542573	0.002840987	0.002525166	0.00408783	0.00315492	0.004094942	0.003766293	1.98859E-05	0	0.003799929	0.003262363	0.00253205	0.006134602	0.006331223	0.005247881	0.006439858	0.002425646	0.003462372	0.003074451	0.005161343	0.004811027	0.00314049	0.004822397	0.005867878	0.004678853	0.002432701	0.005072783	0.004820906	0.004810821	0.005336019	0.004651914	0.004644096	0.002367809	0.00406877	0.00576046	0.003996405	0.005859515	0.00640858	0.003310531
