region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13215.Ruminococcaceae_UCG.005	0.053687218	0.039340542	0.098381071	0.043511825	0.064418237	0.076242505	0.042237537	0.050226894	0.06076909	0.032084138	0.035427649	0.04576698	0.133004926	0.04466997	0.039317926	0.073626541	0.107697557	0.094575425	0.025611468	0.043081442	0.032874458	0.029599121	0.041384107	0.04185602	0.020005187	0.037068324	0.031483311	0.036687646	0.048981292	0.042731028	0.016164226	0.026112816	0.036290261	0.030262977	0.033523099
ASV4033.Prevotellaceae_UCG.004	8.24266E-05	0.003089241	0	0.011755211	0.004613639	0	0.004601354	0.000581779	0.003668154	0.004859216	0.009498029	0.012386008	0.002298851	0.00631293	0.012307403	0.038898189	0.022710523	0.006298408	0.000100241	0.016225478	0.007183533	0.005340472	0.004062535	0.006546202	0.000829947	0.004384642	0.002672195	0.001540765	0.008409149	0.001798008	0.004137064	0.004564177	0.004399739	0.005507366	0.005539101
ASV13216.Ruminococcaceae_UCG.005	0.024590614	0.01812565	0.040740082	0.014755421	0.026324879	0.032297411	0.031796798	0.031765117	0.03105704	0.015176729	0.017666334	0.022288009	0.065681445	0.021069735	0.018476763	0.030162837	0.022000819	0.024824808	0.017575515	0.006888834	0.010448775	0.011765513	0.012314064	0.018448388	0.010184145	0.01663348	0.013587705	0.017587976	0.024122245	0.023244513	0.006772915	0.0177001	0.015459773	0.014801046	0.023406547
ASV4034.Prevotellaceae_UCG.004	0.0075283	0.012640671	0	0.004088006	0.016209415	0	0.013577088	0.004615444	0.005746775	0.008320575	0.020563233	0.007009664	0.012479475	0.070001598	0.021984216	0.028397504	0.008816705	0.024200641	6.68271E-05	0.00176592	0.00903819	0.005697419	0.023189643	0.0149679	0.006847065	0.014360707	0.009571315	0.006918906	0.013182342	0.011533166	0.007104579	0.014567198	0.00631135	0.006457387	0.01429011
ASV13217.Ruminococcaceae_UCG.005	0.008352566	0.005012136	0.010021942	0.010737596	0.005921247	0.001511794	0.006313965	0.005429934	0.007030629	0.003594488	0.004511564	0.010038111	0.010837438	0.003888978	0.005104597	0.00517425	0.019858059	0.011859165	0.007317562	0.121498759	0.002612194	0.00278693	0.007919571	0.006077328	0.007504107	0.008829622	0.003141853	0.004549617	0.005702204	0.006430712	0.003176986	0.005693294	0.006098949	0.008467575	0.005731431
ASV13218.Ruminococcaceae_UCG.005	0.006264425	0.008605743	0.012987013	0.00578988	0.011694464	0.003865382	0.008604325	0.005740216	0.00672495	0.004426546	0.002706938	0.002211787	0.018062397	0.003862341	0.004212076	0.003378481	0.012242391	0.018412915	0.008253141	0.006818897	0.006661094	0.00590335	0.00581717	0.008439732	0.002887525	0.003720912	0.003643902	0.003096065	0.005205664	0.005215842	0.005655733	0.011179848	0.005962405	0.008137133	0.004538985
ASV13219.Ruminococcaceae_UCG.005	0.007720629	0.005453456	0.008480104	0.009912976	0.009819402	0.002061537	0.006252063	0.008028546	0.005441096	0.003494642	0.004464074	0.003640942	0.011494253	0.005140909	0.004869723	0.007183077	0.013156817	0.007092802	0.004293638	0.001993216	0.003539522	0.003418451	0.006481086	0.004111664	0.003371661	0.006576963	0.006607608	0.002441967	0.019461174	0.007159634	0.003665753	0.004230213	0.005385887	0.007448713	0.002923414
ASV4114.Alistipes	0	0.002269647	0	0	4.93437E-05	0	0.00522037	7.75705E-05	0.001528398	0.000166412	4.74901E-05	0	0	0	0	0	0	0	1.67068E-05	1.74844E-05	0	1.37287E-05	0.001074912	0.001749261	0.000363102	0.000382148	0.006283706	1.45355E-05	0.007255894	0.000194379	0.000314207	0	9.10291E-05	0	0.002423357
ASV4035.Prevotellaceae_UCG.004	2.74755E-05	0	0	0.000842164	0.008240403	1.71795E-05	2.06339E-05	0.008959392	0.001956349	0.014577648	0.000617372	0.005172179	0	0.000213095	0.00036014	0.004200274	0.037832674	0.011915908	0	0	0.00067917	0.00021966	7.90376E-05	0.000108202	0.001175759	0.013737203	0.000583024	0	0.000192209	4.85948E-05	0.004608375	0.004770916	0.001562666	0.000123916	3.8466E-05
ASV4036.Prevotellaceae_UCG.004	0	6.30457E-05	0.000355809	0.000719349	0.001110234	0	4.12677E-05	0	0	0	0	0	0	0.000399553	1.56583E-05	0	0.062481234	0.009178086	0	0.028866664	0	2.74574E-05	0	3.60672E-05	0	0.000120678	1.61951E-05	0	0	1.61983E-05	1.7456E-05	0.000477092	0	1.37684E-05	0
