region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13215.Ruminococcaceae_UCG.005	0.000186577	6.90496E-05	1.81071E-05	8.14084E-05	0.000105485	0.000530258	3.86123E-05	0.000127117	2.58969E-05	0.000110961	7.97591E-05	2.0869E-05	2.17609E-05	2.1835E-05	0	0.0155902	0	2.39011E-05	5.90458E-05	5.98829E-05	1.54634E-05	2.83922E-05	5.34416E-05	0	4.19205E-05	0.000135578	9.71939E-05	5.1398E-05	4.25437E-05	2.54527E-05	6.70113E-05	4.68611E-05	2.75547E-05	1.82372E-05
ASV13216.Ruminococcaceae_UCG.005	7.99616E-05	0	1.81071E-05	8.14084E-05	2.1097E-05	0.000165706	0	9.5338E-05	8.6323E-06	0	1.99398E-05	0	2.17609E-05	0	0	0.015112949	1.69834E-05	0	0	0	0	0	7.12555E-05	0	0	6.16264E-05	0	1.02796E-05	2.12718E-05	0	1.91461E-05	0	0	0
ASV4034.Prevotellaceae_UCG.004	0	0	0	0	4.21941E-05	9.94233E-05	0	0.000158897	1.72646E-05	0	0	0	0	0	0	0.007715558	1.69834E-05	1.19506E-05	0	0	0	0	1.78139E-05	0	0	0	1.38848E-05	1.02796E-05	1.06359E-05	0	1.91461E-05	0	0	0
ASV13218.Ruminococcaceae_UCG.005	0.000159923	0.000506364	1.81071E-05	2.03521E-05	0.000400844	0.000231988	0.000115837	0.001144056	0	0.000332882	0.002253195	6.2607E-05	0	0	0	7.95418E-05	0	0	1.47615E-05	0	1.54634E-05	4.25882E-05	0	0	4.19205E-05	0.000283482	1.38848E-05	0.001798931	0	1.27264E-05	2.87191E-05	3.12407E-05	0	0.000145898
ASV2553.Bacteroidales_p.251.o5	0	0	0.002317707	0	0	0.000463976	0	0	0	0.002729633	0	0	0.025895461	0	0	0	0.002717345	0	0.000132853	0.001257542	0.001809213	0	0.071593986	0.007288601	0	0.005608007	0.178447953	0.223499178	0	0.003754279	0.084874593	0.151470657	0	0
ASV11294.Planococcaceae	0.009328855	0.000322232	1.81071E-05	0.066185001	8.43882E-05	0.003115265	0.000424735	0.00327327	0.25439384	0	0	0	2.17609E-05	0.00801345	0.000161164	0	0	0	0	1.49707E-05	0	0.014068312	0.008817871	0.000545671	0.000461126	0.000197205	0.000291582	3.08388E-05	2.12718E-05	0.000254527	0.000382922	0.000218685	0	0
ASV15827.Kiritimatiellae_WCHB1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004189204	0	0	0	0	1.54634E-05	0	1.78139E-05	0	0	1.23253E-05	0	0	0	0	0	0	0	0
ASV11295.Planococcaceae	0.004744389	6.90496E-05	0	0.050534242	4.21941E-05	0.00059654	1.93061E-05	0.000127117	0.101912917	0	0	0	0	2.1835E-05	0	0	0	0	0	2.99415E-05	0	2.83922E-05	0.001371669	9.74412E-05	8.3841E-05	1.23253E-05	0	0	2.12718E-05	0.000203622	8.61574E-05	0	0	0
ASV13444.Ruminococcaceae_UCG.010	0	0	0	0	0	0	0	3.17793E-05	8.6323E-06	0	0	0	0	0	0	0.008749602	1.69834E-05	0	1.47615E-05	0	0	0	0	0	0	2.46506E-05	1.38848E-05	0	0	0	4.78652E-05	0	0	0
ASV3465.Prevotellaceae	0.019483981	0.007066081	0.003983559	0	0.009008439	0.021641148	0.017626503	0.012076143	0	0.020860611	0.012462364	0.007387621	0.006876442	0.009236211	0.008081227	0	0.000832187	0.011042329	0.004103684	0.104735243	0.081028004	0.010930979	0.000837252	0.001578547	0.012436421	0.00957675	0.005678899	0.003669819	0.021388839	0.017002431	0.020428872	0.005295303	0.023779673	0.011325297
