region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13215.Ruminococcaceae_UCG.005	0.120206112	0.08015018	0.07777075	0.044491525	0.089528357	0.088237889	0.078413812	0.057937394	0.053143031	0.065675057	0.088764959	0.047845764	0.0601983	0.045046627	0.055819319	0.083368009	0.124538153	0.076848568	0.039182526	0.057669279	0.073835335	0.079881302	0.046394689	0.077125311	0.040182706	0.111181487	0.044018817	0.06571163	0.070128967	0.062885206	0.030079645	0.064082316	0.034482759	0.053971371	0.034676263	0.050318274	0.05369237	0.043816818	0.072592959	0.044557097	0.074049747	0.039646557	0.042834008	0.054614973	0.048149648	0.034312108	0.034009575
ASV4033.Prevotellaceae_UCG.004	0	0.015950749	0.028315656	0.049876412	0	0	0.019303327	0.010395255	0.028646624	0.006086957	0.013167577	0.00948588	0.027098554	0.027059191	0.023173004	0.000391629	0.120577889	0.043735225	0.006540609	0.017445025	0.090201331	0.032192315	0.002774269	0.022577667	0.030529439	0.002456281	0.022933468	0.009456927	0.010347168	0.037809182	0.008772781	0	0.000501402	0.027457794	0.003336642	0.03365937	0.025928193	0.030449699	0.006209374	0.006852778	0.049843868	0.007365655	0.002753036	0.088524537	0.018673577	0.075181458	0.041273641
ASV13216.Ruminococcaceae_UCG.005	0.004768253	0.017746374	0.022185463	0.014918785	0.018921596	0.018529957	0.024543618	0.030892113	0.020599251	0.020343249	0.019480268	0.011513396	0.019718205	0.017011979	0.015019745	0.025333497	0.019580079	0.014709745	0.010187864	0.010613978	0.01670085	0.014867214	0.011220926	0.00834872	0.01495864	0.020160044	0.010500672	0.02153996	0.023674321	0.010651619	0.008050697	0.005695142	0.013811336	0.011355768	0.008603574	0.010417637	0.010995512	0.014648312	0.014614568	0.00915576	0.010853882	0.013519585	0.012404858	0.013868412	0.014397927	0.012152205	0.011589325
ASV4034.Prevotellaceae_UCG.004	0	0.002052143	0.009414226	0.004325565	0.028852259	0.025000735	0.002058005	0.018705585	0.005035935	0.020114416	0.001781496	0.000814627	0.009057701	0.01859222	0.006489329	0.001713377	0.000730105	0.001920804	0.007844655	0.006341171	0	2.99742E-05	0.001610067	0.038954002	0.000706337	1.54483E-05	0.000436828	0.006270194	0.006506299	0.008244841	0.011251576	1.59528E-05	0.005834492	0.002429782	0.014849437	0.013740102	0.009281926	0.026036699	0.007256388	0.01596641	0	0.016964152	0.034105263	0.007922492	0.009765973	6.87342E-05	0
ASV13217.Ruminococcaceae_UCG.005	0.012330804	0.01207966	0.032499757	0.021068738	0.030350748	0.027089032	0.021075498	0.016121454	0.023382933	0.018672769	0.026528794	0.0096126	0.02624124	0.010593468	0.023749834	0.039897197	0.009469236	0.034935645	0.017543502	0.02405835	0.028169604	0.038396979	0.019469421	0.022336839	0.026385597	0.014135204	0.016381048	0.011197828	0.011274274	0.009805994	0.022018171	0.002281248	0.005720537	0.027797711	0.020612729	0.025058221	0.031354549	0.019032841	0.028662004	0.033519632	0.027759233	0.022587101	0.020663968	0.013544384	0.013426188	0.032263829	0.054178319
ASV13218.Ruminococcaceae_UCG.005	0.034044299	0.022783452	0.010727839	0.002206921	0.013080029	0.012118003	0.006364572	0.008339696	0.009945339	0.009908467	0.017350219	0.016491673	0.008125839	0.008603535	0.008552602	0.009962061	0.015310073	0.014266483	0.008089164	0.005470281	0.004185677	0.008692524	0.006390726	0.009091274	0.032350217	0.014505963	0.007258065	0.014664877	0.015181365	0.020051063	0.004235507	0.07867911	0.007521025	0.0104745	0.005308295	0.005682347	0.005405957	0.007530571	0.008303401	0.004605965	0.017260687	0.003607946	0.004663968	0.005071043	0.007854887	0.011396129	0.008484619
ASV13219.Ruminococcaceae_UCG.005	0.000435808	0.009864279	0.009487204	0.009681026	0.007238463	0.005970764	0.007622242	0.005755565	0.008224517	0.004713959	0.009333488	0.007639392	0.007193976	0.006008818	0.006433864	0.003402276	0.00842939	0.006780273	0.003973267	0.003973438	0.005525093	0.005065644	0.005746699	0.003150839	0.00160103	0.010257678	0.005443548	0.005975126	0.006754631	0.00686257	0.005798226	0.005870623	0.005355881	0.00550163	0.006218288	0.005558143	0.007099143	0.006163964	0.005845827	0.004591923	0.00895876	0.006085855	0.004421053	0.004601202	0.006154344	0.001855823	0.004822961
ASV4114.Alistipes	2.56358E-05	0	0	0.001000471	0	0	0	8.80954E-05	0	0	3.87282E-05	0.004670529	0	0.010691014	0	0	0	1.64171E-05	2.03757E-05	0	4.18568E-05	0	2.47703E-05	2.0069E-05	1.56964E-05	0	0	0	0	0	1.07774E-05	0	0	0	0	0	0	0	0	0	0.000893722	2.72298E-05	1.61943E-05	0	0	1.37468E-05	1.185E-05
ASV4035.Prevotellaceae_UCG.004	0	0.000233198	0.000145957	0.000294256	0	0	0.000266778	0.000323016	0.000177143	0.0001373	3.87282E-05	0.035626358	0.000410019	0.004467595	0.000321693	0.066650349	0.000331866	0.000279091	0.040242064	0.016220335	0.000878992	0.034320484	0.047732283	0.048607209	4.70891E-05	0.072298091	0.031350806	0.12065328	0.098836151	0.038736116	7.54416E-05	0	0	0.000125895	0.025300574	9.31532E-05	0.000101999	0.027744957	0.024066776	0.021878335	0.000936793	0.008536536	0.001846154	0.000405035	0.001020326	0.000151215	0.00010665
ASV4036.Prevotellaceae_UCG.004	0.034915915	0.04370132	0.023036878	0.001588983	0.031442867	0.023118327	0.002019894	0.001791273	0.023484158	0.002425629	0.036598118	0.008001448	0.019047264	0.001697296	0.006944136	0.013951781	0.020420806	0.020439322	0.006336852	0.011484868	0.011217613	0.00347701	0.002997201	0.016396404	0.027139023	0.00100414	0.000117608	0.000545876	0.00051322	0.010781715	0.006865186	0.021855308	0	0.01406252	0.001916501	0.012156497	0.010975112	0.004384529	0.005104192	0.023479189	0.010110908	0.007283966	0.014526316	0.006448164	0.001927282	0.012234686	0.01358013
