region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13215.Ruminococcaceae_UCG.005	0.049647533	0.029729116	0.054209203	0.059288194	0.043799941	0.030265001	0.046927516	0.058245466	0.035585088	0.027869235	0.026990872	0.037307685	0.029051018	0.035670585	0.056450913	0.040157806	0.023802561	0.031507877	0.091671218	0.04962811	0.045344211	0.021025703	0.037434191	0.046600181	0.046459591	0.045045729	0.061452017	0.04266913	0.057278138	0.038296596	0.066777108	0.04719227	0.021329003	0.02665188	0.035744217	0.015584776	0.037436291	0.030943066	0.026468108	0.033219627	0.023816878	0.040832358	0.026154646	0.022717736	0.042868351
ASV4033.Prevotellaceae_UCG.004	0.006747231	0.000454313	0.011954431	0.0140625	0.0039854	0.004406958	0.001965882	0.001623787	0.001831474	7.77746E-05	0.011823261	0.014674224	0.00909567	0.016018391	0.002170076	0.001193288	0.00212842	0.009152288	0.009366466	4.2746E-05	0.000404558	0.003435254	0.002293208	3.02206E-05	0.000192479	0	0.000248938	0.007938004	0.001282346	1.76482E-05	0.00011955	4.00104E-05	0.000187775	0.000107323	4.19041E-05	8.83348E-05	4.18907E-05	5.47181E-05	0.000257249	0.000440519	0.001063866	0.000256505	0.000144421	4.34097E-05	9.41472E-05
ASV13216.Ruminococcaceae_UCG.005	0.012663646	0.016639219	0.022163042	0.019878472	0.016888626	0.01456339	0.017692942	0.020560945	0.014500431	0.016799316	0.014538086	0.027314202	0.015324826	0.011235122	0.017910361	0.014465577	0.011194515	0.011252813	0.015565265	0.013849705	0.015406918	0.006894871	0.010464778	0.014415231	0.01388254	0.014268908	0.015345223	0.01610227	0.02676487	0.017348181	0.025600738	0.017064437	0.005147238	0.007751106	0.01276679	0.00623391	0.009928088	0.00820771	0.009503937	0.01030136	0.011359347	0.008785289	0.00789983	0.011749555	0.017605523
ASV4034.Prevotellaceae_UCG.004	0.034994965	0.000965415	0.006243527	0.016319444	0	0.007267102	0.027015029	0.022479966	0.025126008	0.032587561	0.000354108	0	0.001019818	0.032222181	0.007696537	0.067993084	6.49899E-05	0.001843318	0.013271436	0.008848423	0.064965275	0.062833475	0.028229062	0.039165911	0.049900152	0.045577018	0.06984477	0.043253639	0.061355341	0.03001959	0.050142606	0.017744614	0.021748735	0.018435708	0.008436697	0.016493362	0.028094673	0.02883642	0.037372626	0.043362852	0.023954151	0.01944627	0.028768666	0.033743796	0.023317119
ASV13217.Ruminococcaceae_UCG.005	0.007376636	0.002612301	0.008255659	0.006684028	0.007221071	0.010098062	0.007081404	0.010544074	0.011003981	0.002851736	0.004485364	0.003396994	0.003748519	0.005413623	0.007349324	0.007525023	0.003834406	0.005808595	0.02288367	0.008891169	0.0069112	0.00423925	0.005975259	0.008612874	0.006448043	0.006527267	0.005334377	0.004808055	0.009173709	0.006106277	0.006797261	0.008302159	0.004131045	0.00486531	0.008185272	0.004467215	0.007428611	0.007578452	0.004916322	0.005546017	0.003294554	0.005306443	0.00426042	0.00969483	0.010544485
ASV13218.Ruminococcaceae_UCG.005	0.017346425	0.004003635	0.013907383	0.012239583	0.008681069	0.010185618	0.013317268	0.01640658	0.008143249	0.006377518	0.007042808	0.003693244	0.006835534	0.009826097	0.009345794	0.008158196	0.005832846	0.00981674	0.015974877	0.015474053	0.008428292	0.006821781	0.004780207	0.007101843	0.009094627	0.015976623	0.007450346	0.006750132	0.013809884	0.006159222	0.008915	0.009242403	0.007930722	0.007059469	0.006313555	0.009514916	0.012078475	0.010847856	0.00926098	0.010900014	0.012560486	0.010516697	0.006989977	0.007828213	0.014373137
ASV13219.Ruminococcaceae_UCG.005	0.009038268	0.006559146	0.009942299	0.009375	0.008049719	0.00866799	0.009216395	0.01105019	0.006236094	0.007855236	0.006767391	0.00590524	0.005071525	0.007082205	0.009548335	0.006307381	0.003655683	0.004286786	0.005652649	0.016414465	0.006978626	0.006773054	0.004489519	0.00592324	0.006207444	0.00584418	0.009975284	0.009672675	0.01117943	0.01147133	0.010998582	0.006781763	0.002871849	0.007238341	0.008213208	0.00338196	0.005780912	0.004842549	0.012419431	0.015960331	0.004804557	0.009346394	0.00535802	0.007596695	0.011831163
ASV4114.Alistipes	0.003776435	0.022204554	0.011451398	0.018952546	0.011344579	5.83703E-05	0.01357093	0.00455504	0.005691192	0.023513857	0.028525338	0.016668971	0.010942367	0.003707961	0.007551865	0.011007476	0.013696627	0.030629086	5.4615E-05	0.010985723	0.024981458	0.010305762	0.003682052	0.004986401	0.006135265	0.029448598	0.04052348	0.003865299	0.003583994	0.005188571	0.002800881	0.003220837	0.005434422	0.013117256	0.01954129	0.004530311	0.00860155	0.009630379	0.009589687	0.006946641	0.003706373	0.002180291	0.011828081	0.00274928	0.006307861
ASV4035.Prevotellaceae_UCG.004	0.008459215	0.009483787	0.002189673	0.005353009	0.00069054	0.000350222	0.003445579	0.002699283	0.000620582	0.000233324	0.00267548	0.009321984	0.01306469	0.005116986	0.000839096	0.000754938	0.013956587	0.009173722	0	0.00192357	0.000337132	0.007138507	0.010044895	0	0.000336838	0	0.003271751	0.000150841	0.00292638	0.001111837	0.000922241	2.00052E-05	0.00326949	0.002873872	0.002276791	0.000832871	0.000586469	0.000711335	0.002901202	0.005173271	0.007172518	0.003767414	0.001487536	7.23495E-05	0.001380825
ASV4036.Prevotellaceae_UCG.004	0.003524673	2.83946E-05	0.003195739	0.005873843	0.001164052	0.004056736	0.008328577	0.00080135	0.013486309	0.002436938	0.001239377	0.000315999	0.000137813	0.01049353	0.002951303	0.012371234	3.2495E-05	0.000342943	0.010349536	0.004231854	0.002326209	0.01008649	0.00968961	0.003203385	0.005966846	0.008272931	0.016607692	0.012915755	0.008713379	0.018989464	0.004184243	0.004801248	0.008703912	0.00781073	0.011775059	0.00606986	0.002806675	0.002872698	0.004030241	0.006178557	0.006040015	0.004585023	0.006195662	0.004500137	0.003389299
