region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13219.Ruminococcaceae_UCG.005	0	0.000601874	4.17258E-05	1.32298E-05	7.43771E-05	0.000257195	8.07874E-05	0.000253958	0.000166549	0.000147335	0.000209198	6.17734E-05	0.00012108	6.359E-05	8.57927E-05	2.5549E-05	0.003106899	4.91051E-05	0.000157098	0.000187529	0.000113986	6.73287E-05	6.54922E-05	9.84723E-05	6.91974E-05	0.000344993	0.000508451	2.44027E-05	0.000130454	6.59726E-05
ASV11294.Planococcaceae	0	0.047312503	0	0	0	0	0	0	0	0.001575356	3.21844E-05	0	0	0	0	0	1.56126E-05	0.041015002	0	6.25098E-05	0	0	2.18307E-05	0.001083195	0.000166074	0.000616806	0.001959398	0.005527221	0	0
ASV18292.Spirochaetes_MVP.15	0.001241593	0.013843094	0.009012768	0.026300819	0.033544068	0.022556004	0.013733859	0.015322103	0.002290045	0.041265272	0.005004667	0.002087941	0.004146991	0.001573852	0.000321723	0	0.021763907	0.054076948	0.023907455	0.060321925	0.015707284	0.068506985	0.016853319	0.097318741	0.022904355	0.022936835	0.029105746	0.005380805	1.18594E-05	0.004881975
ASV11295.Planococcaceae	2.58665E-05	0.03014602	0	0	0	0	0	2.82175E-05	0	3.40005E-05	0	0	0	0	0	0	0	0.002676226	0	0.000156274	0	0	0.000152815	0.00016881	0.001383949	0.001463608	0.013604177	0.007808878	8.30161E-05	0.001332647
ASV2554.Bacteroidales_p.251.o5	0.00186239	0.003244884	0.006258867	0.001283289	0.002915582	0.005375376	0.004160552	0.000366828	0.039236097	0.00275404	0.033487818	0.054101135	0.078974452	0.09683163	0.013619595	0.021997675	0.000967979	0.014608755	0.030619823	0.015752461	0.031961701	0.010570611	0.017617395	0.012224629	0.034875514	0.028550819	0.025844215	0.003013739	0.026790479	0.024911267
ASV5842.Phascolarctobacterium	0.015261252	0.031532946	0.010619211	0.016047733	0.007318706	0.019804017	0.016601812	0.010779085	0.029354207	0.015266224	0.025779666	0.017753672	0.033448359	0.018488784	0.014992279	0.026417649	0.017907605	0.016216946	0.018937446	0.026691671	0.021702952	0.026123548	0.016001921	0.01721858	0.024994118	0.036788843	0.023599588	0.005893262	0.010709076	0.006781987
ASV17977.Treponema_2	0.001396793	0.022243157	0.000834516	0.032545279	0.008583116	0.002777706	0.00622063	0.0011287	0.001748761	0.001462021	0.014386405	0.012515289	0.00093837	0.131138419	0.053641901	0.014345754	0.017236265	0.016192394	0.053527564	0.014502266	0.01360994	0.021242215	0.001637304	0.013518836	0.004359439	0.016266962	0.017101331	0.015093096	0.002443045	0.005845175
ASV9137.Lachnospiraceae	0.000750129	0.000209347	0.000250355	0.000582111	0.000490889	0.000360073	0.000632835	0.000479698	0	0.000170002	8.04609E-05	0	9.081E-05	0.000111282	0	2.5549E-05	0.000249801	7.36576E-05	8.56898E-05	0.000406313	0.000182378	0.000336644	6.54922E-05	0.000182877	8.30369E-05	0.000114998	0.000186019	0	0.000154173	5.27781E-05
ASV17506.Acinetobacter	0	0	0	0	0	0	0	0	0	1.13335E-05	0	2.47094E-05	0	0	0	0	0	0.024577083	1.42816E-05	0	0	0	0	1.40675E-05	0	0	0	1.22014E-05	0	0
ASV2448.Bacteroidales_BS11	0	0.002512168	0.00187766	0.000436583	0	0.002263316	1.34646E-05	0.000536133	0.080470778	0.007944783	0.03216826	0.036792231	0.038866691	0.022367773	0.01615048	0.068969482	0	0.004763191	0.004484433	0.045194562	0	0.043797341	0.001309843	0	0	0.004296736	0.007812791	0.001756997	0	0
