region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13215.Ruminococcaceae_UCG.005	0.00138851	0.000140991	4.96426E-05	0.040048567	8.70947E-05	1.15461E-05	6.027E-05	1.9263E-05	2.41455E-05	0	2.55565E-05	3.45262E-05	0	4.15878E-05	7.70317E-05	3.57859E-05	0	1.71221E-05	0	7.1048E-05	1.58685E-05	3.05427E-05	4.47594E-05	0
ASV13216.Ruminococcaceae_UCG.005	0.000728398	2.34984E-05	0	0.020778254	4.35474E-05	1.15461E-05	1.2054E-05	0	0	0	0	1.72631E-05	2.81928E-05	0	0	1.78929E-05	0	0	4.80338E-05	1.7762E-05	0	1.52714E-05	4.47594E-05	0
ASV4034.Prevotellaceae_UCG.004	0.000113812	0	0	0.036817265	2.17737E-05	0	0	0	0	0	0	0	0	0	2.56772E-05	1.78929E-05	0	1.71221E-05	0	0	0	0	0	0
ASV13217.Ruminococcaceae_UCG.005	9.10498E-05	0	0	0.01351272	4.35474E-05	1.15461E-05	0	0	0	0	0	0	0	0	2.56772E-05	0	0	0	0	0	0	0	0	0
ASV13218.Ruminococcaceae_UCG.005	0.001479559	0.001409907	0.00173749	0.010203082	0.001741895	0.001027607	0.000711186	0.000597153	0.000820949	0.001332458	0.000868921	0.000949471	0.000733014	0.001226841	0.000770317	0.000823075	0.000474129	0.002619684	0.00075253	0.000728242	0.000967977	0.000549769	0.00077583	0.000625974
ASV13219.Ruminococcaceae_UCG.005	0.000455249	4.69969E-05	0	0.009184733	0	2.30923E-05	2.4108E-05	0	1.20728E-05	1.98874E-05	0	1.72631E-05	0	0	0	0	0	0	0	0	0	1.52714E-05	1.49198E-05	0
ASV4114.Alistipes	4.55249E-05	0	0	0.035230989	0	0	0	0	0	0	0	0	0	0	0	8.94646E-05	0	0	0	1.7762E-05	0	0	1.49198E-05	0
ASV4035.Prevotellaceae_UCG.004	2.27625E-05	0	0	0.008969312	0	0	0	0	0	0	0	0	0	0	0	0	2.06143E-05	0	0	0	0	0	0	0
ASV4036.Prevotellaceae_UCG.004	0	0	0	0.008362219	2.17737E-05	1.15461E-05	0	0	0	0	0	1.72631E-05	0	2.07939E-05	0	0	2.06143E-05	0	0	0	1.58685E-05	0	1.49198E-05	0
ASV11294.Planococcaceae	0	0	0	0.000391673	0	0	0.017369817	0.00038526	0.013811254	0.000119325	7.66695E-05	0	0	0	0	1.78929E-05	8.24572E-05	5.13663E-05	0	0	0	1.52714E-05	1.49198E-05	0
ASV4362.Rikenellaceae_RC9	4.55249E-05	2.34984E-05	2.48213E-05	0.002232536	4.35474E-05	0	0	0	0	0	0	0	0	0	0	1.78929E-05	0	0	0	0	0	0	1.49198E-05	0
ASV11429.Ruminococcaceae	4.55249E-05	0	0	0.007735542	0	0	0	0	3.62183E-05	3.97749E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV15827.Kiritimatiellae_WCHB1.41	0.022785214	0.01863427	0.019658459	0	0.014283537	0.046011384	0.033365477	0.012097163	0.032922457	0.062884076	0.084310869	0.054465103	0.056977728	0.046765507	0.065143151	0.054466075	0.030138116	0.074960619	0.033271423	0.049040853	0.048541687	0.029657005	0.025662066	0.043924723
