""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5075|Flexilinea"	0.000235201881615053	0	0	0.000150323194868968	0.0000992358836955443	0.000100037514067775	0.000167765128819652	0.000151374262050473	0	0.000488125809121586	0.000152272669593686	0.000127507650459028	0.000199143682166683	0.000213045485211093	0.0000999566854363109	0.000185609107220194	0	0.000180709283939462	0.00039542363051616	0.000057372346528973	0.0000577500577500577	0.000104318798247444	0	0.0000659708936417253	0.0000852616680592739	0.0000139867964641379	0.0000563960128018949	0.000103775107810806	0.000115154306771073	0.00029490550736035	0.000297615767021968	0.0000150688647117326	0.000142244138356132	0.0000820788942331369	0.0000495472618944396	0.0000210930414056403	0.000233972859148339
"ASV5078|Flexilinea"	0.0000522670848033451	0.0000299913025222685	0.0000278737874902442	0.000200430926491958	0.000138930237173762	0	0.000143798681845416	0	0.0000366878233114429	0.000148560028863091	0.000228409004390529	0.0000637538252295138	0	0.000142030323474062	0.0000999566854363109	0.000222730928664233	0	0	0.00013180787683872	0	0.000115500115500115	0.000104318798247444	0.000172997553320317	0.000145135966011796	0.00039220367307266	0.0000559471858565514	0.0000140990032004737	0.000334386458501487	0.0000959619223092277	0.000270330048413654	0.000275570154649971	0.000135619782405594	0.000071122069178066	0.000131326230773019	0.0000495472618944396	0.000147651289839482	0.000155981906098893
"ASV5072|Flexilinea"	0.000156801254410035	0.0000299913025222685	0.0000557475749804884	0.0000501077316229894	0	0	0.000263630916716597	0.0000216248945786389	0	0.000254674335193871	0.0001776514478593	0	0	0	0.0000999566854363109	0.000111365464332117	0	0	0.000158169452206464	0.0000860585197934596	0.00025987525987526	0.0000347729327491481	0.000148283617131701	0.0000659708936417253	0.000562727009191208	0.000349669911603446	0.000155089035205211	0.000230611350690681	0.000307078151389529	0.000172028212626871	0.000319661379393966	0.0000904131882703957	0.000189658851141509	0.000196989346159529	0.0000371604464208297	0.0000843721656225611	0.000249571049758228
"ASV11480|Ruminococcaceae"	0.000444270220828433	0.000389886932789491	0	0.000200430926491958	0.00017862459065198	0.000125046892584719	0.000287597363690833	0.000237873840365028	0.0000733756466228859	0.000403234364056962	0.000482196787046672	0.000212512750765046	0.0000497859205416708	0.000213045485211093	0	0.000136113345294809	0	0	0.00013180787683872	0.000057372346528973	0	0.0000695458654982961	0	0	0.000136418668894838	0.000419603893924136	0.000126891028804264	0.000276733620828817	0.000163135267925687	0.0000368631884200437	0.0000330684185579965	0.0000301377294234652	0	0.0000328315576932548	0.0000371604464208297	0.0000632791242169208	0.0000935891436593355
"ASV11808|Ruminococcaceae"	0.000574937932836796	0	0.000473854387334151	0.000350754121360926	0.0000595415302173266	0.000450168813304989	0	0	0.000165095204901493	0.000615462976718521	0.00167499936553054	0	0.000448073284875037	0.000497106132159216	0.0000999566854363109	0.000136113345294809	0	0.0000451773209848656	0.00123899404228397	0.000172117039586919	0.000144375144375144	0.000278183461993185	0	0.0000791650723700703	0.000170523336118548	0.000279735929282757	0	0	0	0.000110589565260131	0.0000330684185579965	0.000210964105964257	0	0.0000164157788466274	0.0000867077083152692	0.0000210930414056403	0
"ASV11669|Ruminococcaceae"	0	0	0.000222990299921953	0.000300646389737937	0.00017862459065198	0.000100037514067775	0.000359496704613541	0	0.000403566056425872	0.000679131560516989	0.0000253787782656143	0.00027626657599456	0.000846360649208404	0.000106522742605546	0.00103288574950855	0.000247478809626926	0	0.000135531962954597	0.00052723150735488	0.000315547905909352	0.0000288750288750289	0.000347729327491481	0.000222425425697551	0.000118747608555105	0	0.0000559471858565514	0.0000281980064009475	0	0.000182327652387533	0.000479221449460569	0.0000330684185579965	0	0.000118536781963443	0.000147742009619646	0.0000371604464208297	0.000147651289839482	0
"ASV11653|Ruminococcaceae"	0.000627205017640141	0	0.000139368937451221	0.000300646389737937	0.0000198471767391089	0.000900337626609979	0.000958657878969443	0	0.000660380819605973	0.00093380589571086	0.000507575565312286	0.000361271676300578	0.00114507617245843	0.000568121293896247	0.000533102322326992	0.000470209738291159	0.0000382599380189004	0.0000451773209848656	0.000632677808825855	0.0000860585197934596	0.000231000231000231	0.0000695458654982961	0.0000247139361886168	0	0.000221680336954112	0.000209801946962068	0	0	0.0000671733456164594	0.000344056425253742	0.000683413983531928	0.000934269612127422	0.000640098622602594	0.000426810250012312	0.000458312172523566	0.000274209538273324	0
"ASV11474|Ruminococcaceae"	0.00358029530902914	0.000119965210089074	0.00471067008585127	0.00165355514355865	0.00136945519499851	0.00252594723021133	0.00385859796285201	0	0.00174267160729354	0.00311976060612492	0.0030200746136081	0.00153009180550833	0.00293736931195858	0.00273408372687569	0.00149935028154466	0.00242529233434387	0.000191299690094502	0.000361418567878925	0.00100173986397427	0.000688468158347676	0.000721875721875722	0.00100841504972529	0.000296567234263401	0.000395825361850352	0.000221680336954112	0.000951102159561374	0.0000281980064009475	0.000184489080552545	0.00117073545217258	0.0005898110147207	0.000628299952601933	0.00119044031222688	0.00163580759109552	0.00292200863469967	0.00152357830325402	0.000907000780442532	0.000701918577445016
"ASV11501|Ruminococcaceae"	0	0.0031490867648382	0	0	0	0	0	0.00183811603918431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000131941787283451	0	0	0.0000986930224033161	0.0000345917026036022	0	0	0	0	0	0	0	0	0
"ASV11730|Ruminococcaceae"	0.000993074611263557	0	0.000641097112275616	0.000651400511098863	0.00130991366478118	0.000450168813304989	0.0000718993409227082	0	0.000256814763180101	0	0	0.000467528051683101	0.000995718410833416	0.000497106132159216	0.00033318895145437	0.000668192785992699	0	0.0000451773209848656	0.000342700479780672	0.000172117039586919	0.000144375144375144	0.000104318798247444	0.0000247139361886168	0	0.0000511570008355643	0.000209801946962068	0	0	0.000335866728082297	0.000110589565260131	0.000176364898975981	0	0	0.000853620500024624	0.000297283571366637	0.0000421860828112806	0
"ASV11949|Ruminococcaceae"	0.0010453416960669	0	0	0.000100215463245979	0.000337402004564851	0.000150056271101663	0	0	0.000110063469934329	0	0	0.000148758925535532	0.000149357761625012	0.000177537904342577	0.000066637790290874	0.000197983047701541	0	0.0000903546419697312	0	0	0.000231000231000231	0.000660685722233813	0.0000247139361886168	0	0.000153471002506693	0.0000279735929282757	0	0	0.000297481959158606	0.0000368631884200437	0.000176364898975981	0.00028630842952292	0.0000948294255707546	0	0.000272509940419418	0.0000843721656225611	0
"ASV11362|Faecalibacterium"	0.000862406899255194	0.000569834747923102	0.00033448544988293	0.000350754121360926	0.000277860474347524	0.000100037514067775	0.000742959856201318	0.0000864995783145557	0.000201783028212936	0.000976251618243172	0.000279166560921757	0.000148758925535532	0.0000995718410833416	0.000248553066079608	0.000166594475727185	0.00033409639299635	0	0.000361418567878925	0.000738124110296831	0.000114744693057946	0.00051975051975052	0.000417275192989777	0.000296567234263401	0.000131941787283451	0.000153471002506693	0.000279735929282757	0.000296079067209948	0.000299794755897885	0.000191923844618455	0.000282617777887002	0.000551140309299942	0.000557547994334107	0.000165951494748821	0.000262652461546038	0.0000867077083152692	0.000105465207028201	0.000140383715489003
"ASV5658|Methanosphaera"	0.000444270220828433	0.000449869537834028	0.0000278737874902442	0.0000501077316229894	0.0000793887069564354	0.0000500187570338877	0.000407429598562013	0	0.000165095204901493	0.000742800144315457	0.0000507575565312286	0	0	0.000532613713027731	0.000166594475727185	0.0000742436428880777	0	0.000135531962954597	0.000289977329045184	0.0000860585197934596	0.000693000693000693	0.000278183461993185	0.0000741418085658503	0.000303466110751936	0.00100608768309943	0.000279735929282757	0.000761346172825581	0.000172958513018011	0.000307078151389529	0.000614386473667396	0.000859778882507909	0.00103975166510955	0.00035561034589033	0.00141175698080995	0.000582180327259665	0.000189837372650763	0.000327562002807674
"ASV5624|Methanobrevibacter"	0.00229975173134718	0.000389886932789491	0.000111495149960977	0.000450969584606905	0.000297707651086633	0.000600225084406652	0.0014619532654284	0.000691996626516446	0.000293502586491543	0.0010611430633078	0.000837499682765272	0.000680040802448147	0.000746788808125062	0.000710151617370309	0.000266551161163496	0.00113840252428386	0.000267819566132303	0.00040659588886379	0.0013180787683872	0.000200803212851406	0.0017036267036267	0.00100841504972529	0.000271853298074784	0.000435407898035387	0.00187575669730403	0.000363656708067584	0.000930534211231266	0.000438161566312294	0.000758099186242899	0.00293676734413015	0.000771596433019918	0.00221512311262469	0.00087717218652948	0.0019206461250554	0.0011272002080985	0.00078044253200869	0.000265169240368117
"ASV5633|Methanobrevibacter"	0.0000522670848033451	0	0	0	0.0000396943534782177	0	0.0000479328939484721	0	0.0000366878233114429	0.0000424457225323118	0.0000507575565312286	0.0000212512750765046	0	0	0	0.0000371218214440389	0	0.000225886604924328	0.000184531027574208	0.000114744693057946	0.000490875490875491	0.000208637596494888	0.0000247139361886168	0.000250689395838556	0.00216564636870556	0.000111894371713103	0.000761346172825581	0.000449692133846828	0.00017273146015661	0.000258042318940306	0.000242501736091974	0.000150688647117326	0.0000948294255707546	0.000705878490404977	0.000148641785683319	0.000147651289839482	0.000062392762439557
"ASV5626|Methanobrevibacter"	0.00101920815366523	0.000749782563056714	0.000167242724941465	0	0.000496179418477722	0.000425159434788046	0.000958657878969443	0.000367623207836862	0.000183439116557215	0.000891360173178548	0.000279166560921757	0.000318769126147569	0.000398287364333367	0.000781166779107339	0.00033318895145437	0.000977541298026357	0.0000382599380189004	0.00108425570363677	0.00163441767280013	0.000602409638554217	0.00196350196350196	0.000521593991237221	0.000247139361886168	0.00122705862173609	0.00760534079088723	0.00169240237216068	0.00296079067209948	0.00168346286004197	0.000690925840626439	0.00188002260942223	0.0019179682763638	0.00182333263011965	0.000592683909817216	0.000886452057717878	0.000483085803470786	0.000527326035141007	0.000670722196225238
"ASV5630|Methanobrevibacter"	0.000261335424016725	0.000629817352967639	0	0	0.000158777413912871	0.000100037514067775	0.000503295386458957	0	0.0000550317349671644	0.000509348670387742	0.000126893891328071	0.0000850051003060184	0.0000995718410833416	0.000213045485211093	0	0.0000371218214440389	0	0	0.000553593082722623	0.000172117039586919	0.000548625548625549	0.0000347729327491481	0.000148283617131701	0.000857621617342429	0.00216564636870556	0.000265749132818619	0.000563960128018949	0.000599589511795771	0.000115154306771073	0.000479221449460569	0.00037477541032396	0.000828787559145294	0.000260780920319575	0.000262652461546038	0.0000123868154736099	0.0000421860828112806	0.0000935891436593355
"ASV5635|Methanobrevibacter"	0.000287468966418398	0.0000899739075668056	0.0000557475749804884	0.0000501077316229894	0.0000992358836955443	0.0000750281355508316	0.000167765128819652	0.000216248945786389	0	0.000254674335193871	0.000101515113062457	0.0000425025501530092	0.0000995718410833416	0	0.000033318895145437	0.000222730928664233	0	0.000135531962954597	0.00013180787683872	0.0000860585197934596	0.000231000231000231	0	0.0000741418085658503	0.000224301038381866	0.00042630834029637	0.0000699339823206893	0.000140990032004737	0.0000345917026036022	0.000191923844618455	0.00023346685999361	0.000165342092789982	0.000241101835387722	0.000071122069178066	0.0000656631153865095	0.000433538541576346	0	0.0000935891436593355
"ASV5625|Methanobrevibacter"	0.00141121128969032	0.000869747773145788	0.0000836213624707325	0.000450969584606905	0.000297707651086633	0.000250093785169439	0.000886758538046735	0.000648746837359168	0.000385222144770151	0.000848914450646236	0.0005329543435779	0.000297517851071064	0.000298715523250025	0.000461598551290701	0.000199913370872622	0.00103941100043309	0.000153039752075602	0.000903546419697312	0.0010808245900775	0.000860585197934596	0.0038981288981289	0.00246887822518951	0.000222425425697551	0.000356242825665316	0.00393908906433845	0.000965088956025512	0.0019315634384649	0.000784078592348315	0.00116113925994166	0.00197832444520901	0.0018848998578058	0.00206443446550737	0.00052156184063915	0.00134609386542344	0.00147403104135958	0.000274209538273324	0.000499142099516456
"ASV5623|Methanobrevibacter"	0.00180321442571541	0.00173949554629158	0.000836213624707325	0.000450969584606905	0.000932817306738117	0.000600225084406652	0.00186938286399041	0.0024436130873862	0.00088050775947463	0.00201617182028481	0.0015988630307337	0.000913804828289697	0.000647216967041721	0.00131378049213507	0.000799653483490487	0.00193033471509002	0.000153039752075602	0.00180709283939462	0.00247798808456793	0.00109007458405049	0.00378262878262878	0.00243410529244036	0.00076613202184712	0.00108192265572429	0.00537148508773426	0.00134273246055723	0.00432839398254543	0.000922445402762724	0.00185206510056809	0.00258042318940306	0.0038138909403556	0.0027726711069588	0.00130390460159788	0.00346372933663838	0.00333205336240106	0.00107574511168765	0.00132584620184059
