""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5088|Flexilinea"	0	0	0.000711997152011392	0.000773327240452045	0	0.000258122246696035	0.000330995676368977	0.000116455106556422	0.000122271810234151	0.000133146927634645	0	0.000102124183006536	0	0.0000266389621460348	0.000031317528420657	0.000152183838076396	0	0	0.0000501295012114629	0	0	0.0000412444835503251	0.000031638060586886	0.0000180391449445296	0	0.0000804893754024469	0.0000161980044058572	0.000465237998313512	0.000144196106705119	0	0.000192146450531023	0	0	0.000151529761822765	0.000346287033474413
"ASV5070|Flexilinea"	0.0000275444153697838	0.0000632511068943707	0.000474664768007595	0.000773327240452045	0.0000493632145325304	0.00249518171806167	0.000537867974099588	0.000349365319669267	0.000122271810234151	0	0	0.000068082788671024	0	0.0000799168864381044	0.0000626350568413141	0.000243494140922234	0	0	0.0000167098337371543	0	0.0000261550734303687	0.0000274963223668834	0.0000790951514672151	0.00189411021917561	0.000173052296403973	0.000362202189311011	0.000113386030841	0.000101770812131081	0.000512697268284867	0.0000486081856184582	0.0000873392956959195	0.000429546430787343	0.0000455387230942044	0.000192856060501701	0.000500192381685264
"ASV5076|Flexilinea"	0	0	0	0.0000351512382023657	0	0.000585077092511013	0	0	0	0.000133146927634645	0	0	0.000985221674876847	0	0.0000782938210516426	0.000152183838076396	0	0	0	0	0.0000130775367151843	0	0	0.000108234869667178	0.000276883674246357	0.000281712813908564	0.000194376052870286	0.000625163560233782	0.000448610109749259	0	0.00103060368921185	0.000334091668390155	0.000516105528400984	0	0.000404001539053482
"ASV11480|Ruminococcaceae"	0.00225864206032227	0.00173940543959519	0.000830663344013291	0.000597571049440217	0.00281370322835423	0.00223705947136564	0.00126192101615673	0.0010480959590078	0.000244543620468301	0	0	0.000408496732026144	0	0.0000266389621460348	0.0000626350568413141	0.000182620605691676	0.000177814252496239	0.0000709612409701821	0.00023393767232016	0	0.00149083918553101	0.00111360105585878	0.000901684726726252	0.000324704609001533	0.00025957844460596	0.000402446877012234	0.000340158092523001	0.0000872321246837835	0.0000801089481695105	0.000291649113710749	0.000104807154835103	0.0000318182541323958	0.000151795743647348	0.000137754328929787	0.00082724124663332
"ASV11877|Ruminococcaceae"	0.0000826332461093513	0.000695762175838077	0	0.000878780955059142	0	0	0.000310308446595916	0.000427002057373549	0.000305679525585376	0.000199720391451967	0.000189969604863222	0.000238289760348584	0	0.0000266389621460348	0.000031317528420657	0.000213057373306955	0	0	0	0	0	0	0.000015819030293443	0	0	0.0000603670315518352	0.0000161980044058572	0	0.0000961307378034126	0	0	0	0.0000455387230942044	0.000123978896036808	0
"ASV11504|Ruminococcaceae"	0.00140476518385897	0.000316255534471853	0.00213599145603418	0.00119514209888043	0.000765129825254221	0.00242634911894273	0.00246178034299427	0.000892822483599239	0.000611359051170753	0.0000998601957259836	0.000617401215805471	0.00034041394335512	0.000328407224958949	0.000825807826527078	0.00042278663367887	0.000547861817075027	0	0.0000851534891642185	0	0	0.0000523101468607373	0.0000824889671006503	0.000031638060586886	0.0000901957247226481	0.000640293496694701	0.000724404378622022	0.000421148114552287	0.000348928498735134	0.000288392213410238	0.000194432742473833	0	0	0	0.0000964280302508506	0.000192381685263563
"ASV11692|Ruminococcaceae"	0.00107423219942157	0.000695762175838077	0	0.000439390477529571	0.000542995359857834	0.0000860407488986784	0.00076542750160326	0.0000776367377042817	0	0.0000998601957259836	0.0000949848024316109	0	0	0.0000266389621460348	0.0000939525852619711	0.0000913103028458378	0	0	0	0	0.0000261550734303687	0.0000687408059172086	0.0000949141817606581	0.0000180391449445296	0.0000865261482019866	0.0000402446877012234	0.000080990022029286	0.00015992556192027	0.0000320435792678042	0.000210635471013319	0	0	0.000106257020553144	0.0000964280302508506	0.0000961908426317815
"ASV11634|Ruminococcaceae"	0.00022035532295827	0.000790638836179633	0	0.000685449144946131	0.00116003554151446	0.000137665198237885	0	0.000155273475408563	0	0.0000998601957259836	0.0000949848024316109	0.000034041394335512	0	0.0000799168864381044	0.0000782938210516426	0.000152183838076396	0	0	0.000100259002422926	0	0.000379248564740346	0.000247466901301951	0.000664399272324607	0.000306665464057004	0.00051915688921192	0.00046281390856407	0.000469742127769859	0.00015992556192027	0.000288392213410238	0.000340257299329207	0.000209614309670207	0.0000159091270661979	0.000166975318012083	0.000358161255217445	0.0000961908426317815
"ASV11450|Ruminococcaceae"	0.00291970802919708	0.00177103099304238	0.00118666192001899	0.00270664534158216	0.00266561358475664	0.00106690528634361	0.00316514615527835	0.00236792049998059	0.000244543620468301	0.000299580587177951	0.000189969604863222	0.000204248366013072	0	0.000319667545752417	0.000266198991575585	0.000213057373306955	0.000642866912871016	0.000269652715686692	0.000518004845851784	0	0.0000523101468607373	0.0000824889671006503	0.00178755042315906	0.000613330928114007	0.000467241200290728	0.000422569220862846	0.000469742127769859	0.000523392748102701	0.000640871585356084	0.000324054570789721	0.000122275013974287	0.000318182541323958	0.00040984850784784	0.000564792748612125	0.000711812235475183
"ASV11501|Ruminococcaceae"	0	0.000284629981024668	0	0.0000878780955059142	0.00140685161417712	0	0.0000206872297730611	0.000116455106556422	0	0	0	0	0	0	0	0.0000913103028458378	0	0	0.000417745843428858	0	0.00126852106137288	0.0012510826676932	0	0	0.0000173052296403973	0	0	0.0000726934372364863	0.0000961307378034126	0.0000486081856184582	0.000751117942984908	0.00030227341425776	0.000106257020553144	0	0.0000577145055790689
"ASV11518|Ruminococcaceae"	0.000605977138135243	0.000347881087919039	0.000474664768007595	0.000404239239327205	0.00061704018165663	0.000172081497797357	0.000641304122964894	0.000232910213112845	0.000183407715351226	0.0000665734638173224	0	0.000476579520697168	0	0.000186472735022244	0.000172246406313614	0.000639172119920864	0.000314594446724114	0.0000567689927761457	0.0000668393349486173	0.000577104683291945	0.0000653876835759216	0.000123733450650975	0.000189828363521316	0.0000901957247226481	0.000103831377842384	0.000241468126207341	0.0000971880264351432	0.00042162193597162	0.000256348634142434	0.0000972163712369163	0.000227082168809391	0.000127273016529583	0.000136616169282613	0.0000551017315719146	0.0000961908426317815
"ASV5659|Methanosphaera"	0.00212091998347335	0.00142314990512334	0.000177999288002848	0.00507935392024184	0.00172771250863856	0.00115294603524229	0.00264796541095182	0.00201855518031132	0	0	0	0.000034041394335512	0	0	0.0000469762926309856	0	0	0	0	0.000034976041411633	0.000340015954594793	0.000178726095384742	0.000711856363204935	0.000775683232614774	0.000311494133527152	0.00012073406310367	0.000145782039652715	0.0000145386874472973	0.000432588320115357	0.000907352798211219	0.00186906092789268	0.000350000795456353	0.00109292935426091	0.000261733224966595	0.000327048864948057
"ASV5658|Methanosphaera"	0.000165266492218703	0	0	0.000509692953934302	0	0.0000860407488986784	0.000206872297730611	0	0	0.0000998601957259836	0.0000949848024316109	0.000068082788671024	0	0.000133194810730174	0.000172246406313614	0	0.000177814252496239	0	0.0000167098337371543	0.000157392186352349	0.000170007977297396	0.000123733450650975	0.000031638060586886	0.000649409218003067	0.000398020281729139	0.000140856406954282	0.000242970066087858	0.000058154749789189	0.0000480653689017063	0.0000324054570789721	0.000524035774175517	0.000206818651860572	0.0000303591487294696	0.00061989448018404	0.000634859561369758
"ASV5624|Methanobrevibacter"	0.00275444153697838	0.00208728652751423	0.000177999288002848	0.00390178744046259	0.0022707078684964	0.00139386013215859	0.00407538426529303	0.00128100617212065	0.000855902671639054	0.00083216829771653	0.00104483282674772	0.000306372549019608	0	0.000159833772876209	0.000939525852619711	0.0000913103028458378	0	0	0.000167098337371543	0.0000524640621174495	0.000496946395177004	0.000412444835503251	0.00155026496875742	0.00241724542256697	0.000622988267054304	0.000482936252414681	0.000372554101334716	0.000363467186182431	0.000336457582311944	0.000745325512816358	0.00169438233650084	0.000381819049588749	0.00085005616442515	0.00165305194715744	0.0010580992689496
"ASV5641|Methanobrevibacter"	0.000330532984437405	0.000537634408602151	0.0000593330960009493	0.000333936762922474	0.000493632145325304	0.000739950440528634	0.00018618506795755	0.0000388183688521408	0	0	0.000142477203647416	0.000034041394335512	0	0	0	0	0	0	0	0	0.000039232610145553	0.0000412444835503251	0.000015819030293443	0.0000180391449445296	0.0000692209185615893	0	0.0000161980044058572	0	0.0000320435792678042	0	0.000384292901062046	0	0.0000455387230942044	0.000041326298678936	0.000115429011158138
"ASV5625|Methanobrevibacter"	0.00231373089106184	0.000632511068943707	0.000177999288002848	0.000474541715731937	0.000839174647053016	0.000189289647577093	0.00310308446595916	0.000155273475408563	0.000489087240936602	0.00259636508887557	0.0000474924012158055	0.000306372549019608	0	0.000266389621460348	0.000281857755785913	0.0000913103028458378	0	0	0.000133678669897235	0.000314784372704697	0.000130775367151843	0.000109985289467534	0.00204065490785415	0.0000721565797781185	0.000294188903886755	0.000362202189311011	0.000275366074899572	0.00130848187025675	0.000464631899383161	0.000826339155513789	0.000628842929010621	0.000350000795456353	0.000227693615471022	0.000702547077541912	0.000211619853789919
"ASV5623|Methanobrevibacter"	0.00079878804572373	0.00170777988614801	0.000118666192001899	0.00365572877304603	0.0011353539342482	0.0014454845814978	0.00188253790934856	0.00139746127867707	0.000122271810234151	0.000432727514812596	0.000474924012158055	0.000272331154684096	0.000656814449917898	0.000239750659314313	0.00084557326735774	0.0000913103028458378	0	0	0	0.0000699520828232661	0.000196163050727765	0.000123733450650975	0.000806770544965594	0.00095607468206007	0.000571072578133112	0.000301835157759176	0.000242970066087858	0.000610624872786485	0.00083313306096291	0.000712920055737386	0.00155463946338737	0.0000477273811985936	0.000925954036248824	0.00140509415508382	0.00107733743747595
"ASV5644|Methanobrevibacter"	0.00044071064591654	0.000126502213788741	0	0	0.000444268930792773	0	0.000103436148865305	0.000271728581964986	0	0.00026629385526929	0.000427431610942249	0.000068082788671024	0	0	0.000140928877892957	0.0000304367676152793	0	0	0	0	0.0000261550734303687	0.000096237128284092	0.000047457090880329	0	0	0	0	0.0000145386874472973	0.000160217896339021	0.0000486081856184582	0.000262017887087759	0.000397728176654947	0.0000758978718236741	0.0000964280302508506	0.000134667179684494
"ASV5632|Methanobrevibacter"	0.00151494284533811	0.00094876660341556	0.000533997864008544	0.00128302019438635	0.00125876197057952	0.000653909691629956	0.000889550880241627	0.000388183688521408	0.000183407715351226	0	0.000189969604863222	0.000068082788671024	0	0.0000532779242920696	0.000219222698944599	0	0	0	0	0	0.000366171028025161	0.000426192996686693	0.000458751878509847	0.000198430594389826	0.00077873533381788	0.0000804893754024469	0.000161980044058572	0.000130848187025675	0.000224305054874629	0.000145824556855374	0.00150223588596982	0.0000954547623971873	0.000182154892376818	0.000495915584147232	0.000404001539053482
"ASV5628|Methanobrevibacter"	0.000302988569067622	0.0000632511068943707	0.000237332384003797	0.000843629716856776	0.0000740448217987955	0.0000688325991189427	0.000558555203872649	0.0000776367377042817	0	0.0000998601957259836	0.0000949848024316109	0	0	0	0.0001096113494723	0	0.000150458213650663	0.0000993457373582549	0	0.000891889055996642	0.0000261550734303687	0.000164977934201301	0.000537847029977062	0.0000721565797781185	0	0.0000402446877012234	0	0.000988630746416213	0.000256348634142434	0.000113419099776402	0	0	0.000136616169282613	0.000261733224966595	0.000211619853789919
"ASV5639|Methanobrevibacter"	0.0000275444153697838	0.000284629981024668	0	0.00012302933370828	0	0	0.000517180744326527	0	0.0000611359051170753	0.0000998601957259836	0.000284954407294833	0.000136165577342048	0	0	0.000203563934734271	0	0	0	0.000150388503634389	0	0.000222318124158134	0.000192474256568184	0.00063276121173772	0.000126274014611707	0.000224967985325165	0.000362202189311011	0	0.000407083248524323	0.000160217896339021	0.000259243656631777	0.00124021799888206	0.000413637303721145	0.000288411912929961	0.000358161255217445	0.0000961908426317815
"ASV18158|Treponema_2"	0	0.00104364326375712	0.000296665480004747	0	0	0	0.0000827489190922444	0.000116455106556422	0	0	0	0	0	0	0	0	0	0.0000283844963880728	0	0	0.0000130775367151843	0.000288711384852276	0	0	0.0000173052296403973	0.0000402446877012234	0.0000647920176234288	0	0	0	0	0.00176591310434796	0.0000758978718236741	0.000123978896036808	0.00015390534821085
"ASV18079|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121520464046145	0	0	0.00220103828288655	0	0.00327048864948057
"ASV17987|Treponema_2"	0	0.00186590765338393	0.0122819508721965	0.00349754820113538	0.00138217000691085	0	0.0140880034754546	0.017351810876907	0.000183407715351226	0.00479328939484721	0	0.00834014161220044	0.00197044334975369	0.000186472735022244	0	0	0	0.0109706078539902	0.00327512741248225	0.00683781609597426	0.00120313337779696	0.00105860841112501	0.000806770544965594	0.00294038062595833	0.00434361263973973	0.0114898583386993	0.00921666450693275	0	0.00240326844508532	0.0113743154347192	0.00524035774175517	0.0000159091270661979	0.00701296335650748	0.0022591709944485	0.00709888418622547
"ASV17985|Treponema_2"	0.00157003167607768	0	0	0.00165210819551119	0.00254220554842531	0	0	0	0.000672494956287828	0.0000332867319086612	0.0000949848024316109	0.00388071895424837	0	0.000745890940088974	0.0000156587642103285	0.00280018262060569	0.00518396936123649	0	0.00118639819533796	0.00944353118114092	0.00391018347784011	0.0034920329405942	0.000174009333227873	0.000144313159556237	0.000346104592807947	0	0.00194376052870286	0.000174464249367567	0	0.000016202728539486	0.000768585802124092	0.00294318850724661	0.000880415313154619	0.00121223809458212	0.000230858022316276
"ASV18011|Treponema_2"	0.0000275444153697838	0	0	0.0000175756191011828	0	0	0	0	0.000305679525585376	0	0.0107807750759878	0.0008510348583878	0	0.000452862356482591	0.00631048197676239	0.000639172119920864	0.0000273560388455752	0	0.0034756454173281	0.00858661816655591	0.0000130775367151843	0	0.000268923514988531	0.000685487507892126	0	0	0	0.000130848187025675	0	0	0	0.0000159091270661979	0.00085005616442515	0.000344385822324467	0
"ASV17976|Treponema_2"	0.00256163062938989	0.00208728652751423	0	0.0093150781236269	0	0	0.00465462669893874	0.00345483482784053	0.000122271810234151	0.00026629385526929	0.001709726443769	0.00068082788671024	0.0013136288998358	0.0011454753722795	0.00104913720209201	0	0	0.0039738294943302	0.000584844180800401	0.0285579378125984	0.00447251755659304	0.00266714326958769	0.0478209285770782	0.00171371876973031	0.00295919426850794	0.00694220862846104	0.00194376052870286	0.0000726934372364863	0.000672915164623888	0.00408308759195048	0.00375558971492454	0.00130454841942823	0.000758978718236741	0.00082652597357872	0.000692574066948826
"ASV18104|Treponema_2"	0	0	0	0	0	0	0	0	0.000366815430702452	0.00139804274016377	0	0	0	0.000959002637257252	0	0	0	0	0	0	0.000196163050727765	0.000137481611834417	0.000189828363521316	0.0000901957247226481	0.000051915688921192	0.000321957501609788	0.000777504211481146	0	0	0.00136102919731683	0	0	0	0.000275508657859573	0.000557906887264332
"ASV18016|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186472735022244	0	0	0	0	0.00190492104603559	0	0.000340015954594793	0.0000824889671006503	0	0	0	0	0	0	0.000432588320115357	0	0	0.000620455955581717	0	0.000082652597357872	0
"ASV18072|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00760456273764259	0	0	0
"ASV17980|Treponema_2"	0.018978102189781	0.0187855787476281	0	0.00391936305956377	0.00177707572317109	0	0.00885413434287015	0.0113737820736773	0.00183407715351226	0.0138139937420944	0.00327697568389058	0.00857843137254902	0.00164203612479475	0.0102027225019313	0.0031317528420657	0.00380459595190991	0	0	0.00421087810176289	0	0.0159676723292401	0.0120296410355115	0.00381238630071977	0.00324704609001533	0.00254386875713841	0.00245492594977463	0.00873072437475703	0.00455060917100404	0.00100937274693583	0.0134320619592339	0.00848937954164338	0.00698410678206087	0.00813625185949786	0.0132657418759385	0.00305886879569065
"ASV18062|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0.00497004357298475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
