""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5154|Anaerolineae_SBR1031"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00570064960890892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV5074|Flexilinea"	0	0	0.00480087288597927	0	0.000149649392851035	0	0.0000194541174639612	0.00143701101708446	0	0.0000686122038239868	0	0	0.0000440897667651338	0.0000657231739911493	0	0	0	0	0	0	0	0.0000284199906214031	0	0	0.0000419938688951413	0	0.000027853213564515	0.0000206211077659092	0.0000427793760628001	0	0.000201674861708666	0.000141884222474461	0.000027572895843386	0.0000730020258062161
"ASV5082|Flexilinea"	0	0	0.00141843971631206	0	0.00025654181631606	0	0.000252903527031496	0.001181542391825	0	0.0000686122038239868	0.0000801378370797772	0	0.0000440897667651338	0.000153354072646015	0	0	0	0.0000479846449136276	0.0000738803433958361	0	0	0	0.0000534940532444143	0	0.000153977519282185	0	0.0000417798203467725	0	0	0	0.000326521204671174	0.000141884222474461	0.0000413593437650789	0.000146004051612432
"ASV5065|Flexilinea"	0.00172218933318982	0.001936944295349	0.00150936533915257	0	0.00361296391311784	0.00262325956817112	0.00229558586074743	0.00169247964234392	0	0.00233281493001555	0.00124213647473655	0.00192223313344895	0.00167541113707508	0.0013363712044867	0	0	0.000307461054933042	0.000899712092130518	0.000857011983391699	0.0000454834894933139	0.0000467989517034818	0.000227359924971225	0.00151566484192507	0.000235395660873318	0.00125981606685424	0.0000247133254250692	0.00820277139474967	0.000371179939786365	0.000320845320471001	0.000332442557761894	0.00834549784880148	0.000567536889897843	0.00064796305231957	0.00213530925483182
"ASV5067|Flexilinea"	0.000511274958290727	0.000630090312944855	0.000818330605564648	0	0.00145373695912434	0.00124436671823502	0.00062253175884676	0.000574804406833786	0	0.000526026895983899	0.000100172296349722	0.00165061323415725	0.000308628367355937	0.000438154493274329	0	0	0.000136649357748019	0.000107965451055662	0.0009013401894292	0.000015161163164438	0.0000467989517034818	0.000156309948417717	0.000695422692177386	0.000156930440582212	0.000195971388177326	0	0.000348165169556438	0.000144347754361364	0.0000748639081099002	0	0.00341886908420406	0.000252238617732375	0.000330874750120631	0.000730020258062161
"ASV5069|Flexilinea"	0.000269092083310909	0.000630090312944855	0.000654664484451719	0	0.000855139387720198	0.000773525257281227	0.000447444701671109	0.000319335781574325	0	0.000457414692159912	0.000480827022478663	0	0.000418852784268771	0.000438154493274329	0	0	0.0000341623394370046	0.0000719769673704415	0.000635370953204191	0	0	0.000113679962485612	0.000338795670547957	0.0000196163050727765	0.0006439059897255	0.0000123566627125346	0.000376018383120953	0.000051552769414773	0.000203202036298301	0.0000895037655512793	0.00107559926244622	0.000252238617732375	0.0000827186875301578	0.000328509116127973
"ASV5068|Flexilinea"	0.0000538184166621818	0.0000700100347716506	0.00010911074740862	0	0.000342055755088079	0.000269052263402166	0.000369628231815264	0.000223535047102028	0	0.0010520537919678	0.0000801378370797772	0	0.000617256734711873	0.000525785391929194	0	0	0.000546597430992074	0.000563819577735125	0.000591042747166689	0	0.0000467989517034818	0.000170519943728419	0.000267470266222072	0.000176546745654988	0.000755889640112544	0.0000247133254250692	0.000807743193370935	0.000175279416010228	0.000256676256376801	0.0000127862522216113	0.00158458819913952	0.0000945894816496406	0.0000689322396084649	0.000492763674191959
"ASV11360|Faecalibacterium"	0	0	0	0	0.0000641354540790149	0	0	0	0	0	0	0	0.000330673250738504	0.0000438154493274329	0.000138430657776342	0	0.000102487018311014	0.000767754318618042	0.000502386335091685	0.00139482701112829	0.00180955946586796	0.000326829892146136	0.0000178313510814714	0.000039232610145553	0.000279959125967609	0.00061783313562673	0.000139266067822575	0.000051552769414773	0.00306942023250591	0.000396373818869951	0.00144053472649047	0.000220708790515828	0.000193010270903702	0.000584016206449729
"ASV5663|Methanosphaera"	0	0	0	0	0	0	0	0	0	0	0	0	0.0000220448833825669	0	0	0	0.0000170811697185023	0	0	0	0.0000467989517034818	0	0.0000534940532444143	0.000235395660873318	0.0000139979562983804	0	0	0.000154658308244319	0.0001283381281884	0	0.0000480178242163491	0.00327910203052087	0.0000689322396084649	0
"ASV5626|Methanobrevibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00349993371337664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
