""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV11480|Ruminococcaceae"	0	0.000212369333868189	0.000171922585715689	0.0018888528170469	0.0000764564962536317	0.0000589605259278913	0.000841332364526368	0.00053051961448908	0.000178858880343409	0.000575347509895977	0.000428282199034418	0.000652162098512708	0.000149784684516008	0.000332186962638737	0.0000781494216942795	0.000494853523357086	0.000731707317073171	0.0000164544048441768	0	0	0.0000837345614402345	0	0.0000248138957816377	0	0	0	0.00015135462388376	0	0	0	0	0	0.000364921883909226	0.000327827512293532	0	0.000823160314354052	0.000346952936854565	0.000356054348135699	0	0	0.000183120590294609	0	0.0000972463086921992	0.000859092603698961	0.000178224238496436	0.000467630351960609	0
"ASV11504|Ruminococcaceae"	0	0.000188772741216168	0.000442086648983201	0.0000590266505327155	0.00089199245629237	0.000294802629639456	0.000650120463497648	0.00038315305490878	0.000715435521373636	0.000621375310687655	0.000194673726833826	0.000326081049256354	0.000973600449354054	0.0000977020478349226	0.00146251060599294	0.000816508313539192	0.000133037694013304	0.00153025965050844	0	0.0000544721647238261	0	0.0000300021001470103	0	0.0000602300789014034	0.000346080636788372	0	0.000218623345609875	0.000221877080097626	0.0000497001424737418	0.000130208333333333	0.0000863092027187399	0	0.000228076177443266	0.000252175009456563	0.000110325045164315	0.000683378374180723	0.000346952936854565	0.0000427265217762839	0.0000581742026498349	0.000084300446792368	0.000204664189152798	0.000313372845561687	0.0000324154362307331	0.000129674355275315	0.000356448476992871	0	0.000675940090362517
"ASV11450|Ruminococcaceae"	0	0.0017933410415536	0.00120345810000982	0.000295133252663578	0.00124878943880932	0.00147401314819728	0.00210333091131592	0.00106103922897816	0.00209520402687993	0.00181809813127129	0.00221928048590562	0.000489121573884531	0.00127316981838607	0.0000195404095669845	0.00221051221363819	0.00257323832145685	0.000443458980044346	0.00199098298614539	0.000815710585884128	0.000926026800305044	0.000251203684320703	0.000420029402058144	0.000347394540942928	0.000923527876488185	0	0.000602791387811249	0.000538149773808923	0.000606464018933511	0.000497001424737418	0.0005859375	0.000668896321070234	0	0.000935112327517391	0.00122304879586433	0.00128252865003517	0.000745503680924425	0.00030613494428344	0.0014242173925428	0.00117802760365916	0.00205131087194762	0.000420100177734691	0.00231623407589073	0.00247978087165108	0.00106981343102135	0.00119896305897602	0	0.000996122238428973
"ASV11518|Ruminococcaceae"	0	0.000023596592652021	0.0000245603693879556	0.000383673228462651	0.000127427493756053	0.0000589605259278913	0.000114727140617232	0.00005894662383212	0	0.000161097302770874	0.000194673726833826	0.000398543504646655	0.00018723085564501	0.000351727372205721	0.0000223284061983656	0.0000742280285035629	0.0000665188470066519	0.0000822720242208839	0.000183534881823929	0.000163416494171478	0.000293070965040821	0.000240016801176082	0.000198511166253102	0.000260997008572748	0.000361811574824207	0.000417317114638557	0.000134537443452231	0.0000739590266992086	0.000182233855737053	0.000276692708333333	0	0.000798212005108557	0.000250883795187593	0.000151305005673938	0.000344765766138486	0.000512533780635542	0.000204089962855627	0.000242116956732276	0.000203609709274422	0.000266951414842499	0.000172348790865514	0.000326997751890456	0.000777970469537594	0.0000486278832282431	0	0.000756460863465691	0
"ASV5624|Methanobrevibacter"	0	0	0	0	0	0	0.000057363570308616	0	0	0	0	0	0.0000374461711290021	0.00336095044552134	0	0	0	0	0	0	0	0	0	0	0	0	0.000100903082589173	0	0	0	0.0000755205523788974	0	0.00104915041623902	0	0	0.000062125306743702	0.0000408179925711254	0.0000427265217762839	0.0000145435506624587	0	0.0000430871977163785	0.000013624906328769	0.0000324154362307331	0	0.0000810110174983798	0	0.0000237171961530708
"ASV5625|Methanobrevibacter"	0.0000773893976525216	0.000377545482432337	0.0000736811081638668	0.00123955966118703	0.000127427493756053	0.0000294802629639456	0.00028681785154308	0.0001473665595803	0.00102205074481948	0.000184111203166713	0.0000778694907335306	0.00181156138475752	0.000299569369032016	0.000781616382679381	0.00040191131157058	0.000420625494853523	0.0000443458980044346	0.0000987264290650607	0.000101963823235516	0	0	0	0.000223325062034739	0.0000401533859342689	0.000141578442322516	0	0.000824041841144914	0.00042896235485541	0	0.000048828125	0.00132700399180063	0.0000159642401021711	0.000456152354886532	0.0000126087504728281	0.000124115675809855	0.000341689187090361	0.000183680966570064	0.000427265217762839	0.000174522607949505	0.000126450670188552	0.000678623364032962	0.000163498875945228	0.000324154362307331	0.0000162092944094144	0.000534672715489307	0.0000275076677623888	0.000237171961530708
"ASV5623|Methanobrevibacter"	0	0.000401142075084358	0	0.000147566626331789	0.0000509709975024211	0	0.000114727140617232	0.00011789324766424	0	0.000207125103562552	0.000155738981467061	0.000543468415427257	0	0.00230576832890417	0	0.000371140142517815	0	0.0000822720242208839	0.0000203927646471032	0.0000272360823619131	0	0.0000300021001470103	0.0000496277915632754	0.0000200766929671345	0.0000157309380358351	0	0.0000840859021576442	0	0	0	0.000593375768691337	0	0.000182460941954613	0.0000126087504728281	0.0000827437838732365	0.000201907246917032	0.000326543940569003	0	0.0000436306519873762	0.00042150223396184	0.000107717994290946	0.000217998501260304	0.0000324154362307331	0	0.000178224238496436	0	0.000118585980765354
"ASV5628|Methanobrevibacter"	0.000103185863536695	0.000471931853040421	0.000196482955103645	0.000236106602130862	0.000152912992507263	0.0000884407888918369	0.00019121190102872	0.0001473665595803	0.000281063954825357	0.0000920556015833563	0.000233608472200592	0.000217387366170903	0.000149784684516008	0.000664373925277474	0.000189791452686107	0.0000989707046714173	0.0000665188470066519	0.0000822720242208839	0.000265105940412342	0.000381305153066783	0	0.000300021001470103	0.00032258064516129	0	0.0023753716434111	0	0.000319526428199048	0.00051771318689446	0.0000497001424737418	0.000325520833333333	0.00283741503937857	0.000335249042145594	0	0	0.0000689531532276971	0.000885285621097754	0.000897995836564758	0.000626655652718831	0.000378132317223927	0.0000281001489307893	0.000797113157753003	0.0000817494379726139	0.000340362080422697	0.000567325304329502	0.000550874918988982	0.0000687691694059719	0.00059292990382677
"ASV18099|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109205441016683	0
"ASV17987|Treponema_2"	0	0	0.00508399646330681	0	0	0	0	0	0.00567238163374812	0	0	0	0.00393184796854522	0	0.0060956548921538	0	0	0.00519959193075986	0	0	0	0	0	0	0.0133712973304598	0	0.00702958142037906	0	0	0.0000162760416666667	0.00188801380947244	0	0.0120880374044931	0.0134535367545076	0	0.00282670145683844	0.00279603249112209	0	0.0102532032170334	0	0.00282221145042279	0.0033381020505484	0.00747175805118397	0	0.00312702527543746	0	0.000177878971148031
