""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5071|Flexilinea"	0.000277154879185669	0	0.000147994672191801	0.000289611630803093	0	0.0012841841053031	0.000275143921435828	0.00130760307919435	0.000802531760572977	0.000596287462407964	0	0	0	0.000667482478584937	0.00107178031400267	0	0	0	0	0.000256574727389352	0.000236008091706001	0.0000487828674569491	0	0.0000302288322602098	0	0.000265735327613697	0.000320136591612421	0.000132013201320132	0.0000658414537792995	0.0000882674857889348	0.000034192125553485	0.000180061220815077	0.000143646408839779	0	0	0.0000505095147298372	0.0000698207004412668	0.000136800777028414	0.000285861300097193	0.00023721844429885	0	0.0000801718885290062	0.000144525378656492	0.000550246162757023	0.0000942329438371655
"ASV5079|Flexilinea"	0.0000755876943233641	0	0.0000295989344383602	0	0	0.0000875580071797566	0.000105824585167626	0.000126542233470421	0.000363410608561348	0.0000777766255314736	0	0	0	0.000185411799606927	0.000318637390649441	0.000146487951366	0	0	0	0.000042762454564892	0.000404585300067431	0.0000731743011854237	0	0	0.000145334754384265	0.0000759243793181991	0.0000711414648027603	0.000226308345120226	0.0000658414537792995	0.000123574480104509	0	0.000180061220815077	0.000353591160220994	0	0	0.000202038058919349	0	0.000123120699325572	0.000157223715053456	0.0001355533967422	0	0.000192412532469615	0.000245693143716037	0.000579206487112656	0.000157054906395276
"ASV5077|Flexilinea"	0.000201567184862304	0	0	0.000376495120044021	0	0	0.000296308838469353	0.000126542233470421	0.000121136869520449	0.0000518510836876491	0	0	0	0.0000741647198427708	0.000115868142054342	0.0000732439756830001	0	0	0	0	0.0000674308833445718	0.0000975657349138982	0	0.000181372993561259	0.0000242224590640442	0	0.000248995126809661	0.000113154172560113	0.000263365815117198	0.0000353069943155739	0.000239344878874395	0.000120040813876718	0.000209944751381215	0	0.000209579165036606	0.000113646408142134	0.0000558565603530135	0.0000273601554056827	0.000114344520038877	0.000192033978718117	0.000240252608456892	0.0000320687554116025	0.000216788067984738	0.000318563567911961	0
"ASV11480|Ruminococcaceae"	0.000302350777293457	0.000255565651976374	0.000147994672191801	0.0000579223261606186	0.000395530505290221	0.000145930011966261	0.000296308838469353	0.000168722977960561	0.000136278978210506	0.0011666493829721	0.000118119536971415	0.0000197546472807728	0.000275839240890409	0.000111247079764156	0.0000289670355135855	0.000366219878415	0.000178893785880401	0	0.000685776985324372	0.000171049818259568	0	0.0000975657349138982	0.0000646516890253758	0.0000906864967806294	0	0.0000379621896590995	0.000391278056415182	0.0000754361150400754	0.000197524361337898	0	0.0000170960627767425	0.000160054418502291	0.0000110497237569061	0.0000596608875153627	0.0000838316660146426	0.0000757642720947559	0.0000558565603530135	0.000136800777028414	0.0000571722600194386	0.0000903689311614667	0.000205930807248764	0.0000801718885290062	0.0000578101514625968	0.000072400810889082	0
"ASV11897|Ruminococcaceae"	0.000478722064047973	0.00056792367105861	0.0000887968033150807	0	0	0.000175116014359513	0.0000423298340670505	0.000210903722450701	0.000166563195590618	0.000362957585813544	0.0000787463579809434	0.00118527883684637	0.0000275839240890409	0.0000370823599213854	0	0.000146487951366	0.000422839857535494	0	0	0	0.0000674308833445718	0.0000731743011854237	0	0.000211601825821469	0	0.000151848758636398	0.0000177853662006901	0	0.000329207268896497	0	0.000119672439437198	0.000280095232379009	0	0	0.000125747499021964	0.0000505095147298372	0	0	0	0	0.0000686436024162548	0	0.0000289050757312984	0.0000579206487112656	0
"ASV11692|Ruminococcaceae"	0.000629897452694701	0	0.0000295989344383602	0.000115844652321237	0	0	0.000126989502201151	0.000189813350205631	0.0000151421086900562	0.00217774551488126	0	0	0	0.0000741647198427708	0.000289670355135855	0	0	0	0	0.00064143681847338	0.000101146325016858	0.000195131469827796	0.0000969775335380637	0.000151144161301049	0.000218002131576398	0.0000379621896590995	0.000764770746629673	0	0.000230445088227548	0.0000882674857889348	0.00027353700442788	0.000140047616189504	0.0000220994475138122	0.0000715930650184352	0.000139719443357738	0.0000252547573649186	0.0000698207004412668	0.000109440621622731	0	0.0000112961163951833	0.0000686436024162548	0.0000160343777058012	0.0000867152271938952	0	0
"ASV11634|Ruminococcaceae"	0.0000755876943233641	0.000056792367105861	0.000799171229835726	0.0000868834892409279	0	0.000116744009573009	0.0000846596681341009	0.0000421807444901403	0.0000605684347602247	0.0000518510836876491	0.0000590597684857075	0	0	0.000296658879371083	0.000897978100921152	0.000146487951366	0.000130104571549383	0.0000429110882251974	0	0	0	0.0000731743011854237	0	0.000120915329040839	0.000242224590640442	0.0000759243793181991	0.0000355707324013801	0.0000565770862800566	0.000131682907558599	0.0000882674857889348	0.000119672439437198	0.000060020406938359	0.0000994475138121547	0.0000119321775030725	0.000321354719722797	0.0000126273786824593	0.0000698207004412668	0.0000547203108113654	0	0.0000112961163951833	0.0000686436024162548	0.0000962062662348074	0.00017343045438779	0.000101361135244715	0.0000628219625581103
"ASV11632|Ruminococcaceae"	0.000629897452694701	0.0000283961835529305	0.000295989344383602	0.000695067913927423	0	0.000175116014359513	0.00110057568574331	0.000632711167352104	0.000439121152011629	0.000103702167375298	0	0	0.0000551678481780818	0.00111247079764156	0.00139041770465211	0.000195317268488	0	0	0	0.00149668590977122	0.000202292650033715	0.000146348602370847	0.0000323258445126879	0.000120915329040839	0.0000242224590640442	0.000151848758636398	0.000711414648027603	0.000622347949080622	0.000493810903344746	0.000494297920418035	0.000718034636623186	0.000320108837004582	0.0000331491712707182	0.000357965325092176	0.000139719443357738	0.000151528544189512	0.000293246941853321	0.000218881243245462	0.000157223715053456	0.000225922327903667	0.000411861614497529	0.00025655004329282	0.000289050757312984	0.0000144801621778164	0.000157054906395276
"ASV11501|Ruminococcaceae"	0	0	0	0	0.000276871353703154	0	0	0	0	0	0.000767776990314198	0.0018174275498311	0.000331007089068491	0	0.0000289670355135855	0	0.00079689050073997	0.000858221764503948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV11546|Ruminococcaceae"	0.00136057849782055	0	0.00124315524641113	0.000955718381650207	0	0.000408604033505531	0.00148154419234677	0.00122324159021407	0.00122651080389455	0.00233329876594421	0	0	0	0.000704564838506323	0.00156421991773362	0.000268561244171	0	0	0	0.00136839854607654	0.000472016183412003	0.0000731743011854237	0.000258606756101503	0.000574347812943986	0.000242224590640442	0.000227773137954597	0.000711414648027603	0.000339462517680339	0.000625493810903345	0.000282455954524591	0.000495785820525533	0.000740251685573095	0	0.000727862827687425	0.0011177555468619	0.000126273786824593	0.0000977489806177736	0.000218881243245462	0.000343033560116631	0.000225922327903667	0.000549148819330038	0.000320687554116025	0.000375765984506879	0.000637127135823921	0.000251287850232441
