""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5066|Flexilinea"	0.00018111254851229	0.00243404522613065	0.00169070529545597	0.0000926232219649355	0.00028268761530679	0.000643351604518902	0.000633030735662527	0.00081856158970306	0.00435850811321017	0.0000453370811987124	0.000563271480760256	0.0010872519706442	0.00157413573893564	0.000318000413400537	0.0000643680133885468	0.000702767626689837	0.00368456386317154	0.000712434437606712	0.00191384826325411	0.000156372165754496	0.000228076177443266	0.000101010101010101	0.000480695697773505	0.000239197422296014	0.000844325715946683	0.00146373084080882	0.00286504520818088	0.000146500470022341	0.0000949014211487817	0.000884360026926783
"ASV12023|Ruminococcaceae"	0.0000776196636481242	0.000314070351758794	0.000146110334175207	0.0000396956665564009	0.0000595131821698506	0.00012867032090378	0.000175093607736444	0.0000846787851416958	0.000208208986299849	0.0000793398920977467	0.000209215121425238	0.0000370654080901431	0.000332990252467155	0.0000636000826801075	0.0000643680133885468	0.0000638879660627124	0.000421539086040811	0.000049133409490118	0.000199954296160878	0.0000312744331508991	0.000114038088721633	0.0000336700336700337	0	0.0000422113098169436	0	0.00013591786378939	0	0	0.0000237253552871954	0.000211190454191471
"ASV11625|Ruminococcaceae"	0.000284605433376455	0.000601968174204355	0.000542695526936484	0.000489579887528945	0.000163661250967089	0.000308808770169073	0.00026937478113299	0.000423393925708479	0.000249850783559818	0.000544044974384549	0.000708112718670036	0.000210037312510811	0.000363262093600533	0.00025440033072043	0.000107280022314245	0.000996652270578314	0.00217014566517307	0.000024566704745059	0.000599862888482633	0.000625488663017983	0.000319306648420572	0.000168350168350168	0.0000655494133327507	0.000126633929450831	0.000304510913947984	0.000345022269619221	0.000248055862180163	0	0.000296566941089943	0.000145193437256636
"ASV5625|Methanobrevibacter"	0	0	0	0	0	0	0	0	0.0000138805990866566	0	0	0	0	0	0	0.0000127775932125425	0	0.0000122833523725295	0.000614145338208409	0.0000625488663017983	0	0	0.00251272751108878	0.00122412798469136	0.00101042257810013	0	0	0	0.000225390875228357	0.000488377925317776
"ASV18026|Treponema_2"	0.00336351875808538	0.00188442211055276	0.00254649439562504	0.00215679788289778	0.000922454323632685	0.00311382176587148	0.00309780998302939	0.00307666252681495	0.000138805990866566	0.000804733191277146	0.00603505157957417	0.00143319577948553	0.00284555306653751	0.00395910514683669	0.00476323299075246	0.00218496843934477	0	0.00512215793934481	0.00775537020109689	0.000250195465207193	0.000684228532329798	0.000437710437710438	0.000699193742216007	0.000548747027620267	0.000262986698409623	0.000575037116032035	0.000396889379488261	0.000769127467617292	0.000806662079764645	0.00034318448806114
"ASV18110|Treponema_2"	0	0.000811348408710218	0.000459203907407794	0.00162752232881244	0.000580253526156044	0.000283074705988317	0.000794655604342321	0.000310488878852885	0.0000555223963466263	0.000555379244684227	0.000209215121425238	0	0	0.0000795001033501344	0	0	0	0.000466767390156121	0.000014282449725777	0.000281469898358092	0.000273691412931919	0.000269360269360269	0	0.000253267858901662	0.000249145293230169	0.00013591786378939	0.000210847482853139	0.000463918155070748	0.00041519371752592	0.000224389857578437
"ASV17981|Treponema_2"	0.0687192755498059	0.000340242881072027	0.00434156421549187	0	0.0383264893173838	0.0147198847113925	0.0176036419470409	0.00369764028452072	0.00267895562372472	0.00707258466699914	0.00951124128940889	0.00877214658133386	0.00917236786341345	0.00348210452673588	0.0147617310704401	0.017006976565894	0	0.000024566704745059	0.0115973491773309	0.0237998436278342	0	0.0150505050505051	0	0.00824527585090965	0.0681827619139895	0	0.0000124027931090081	0.0130507502044902	0	0.000105595227095735
"ASV18171|Treponema_2"	0.000465717981888745	0	0.0000626187146465174	0	0.000044634886627388	0.0000514681283615121	0.0000673436952832476	0	0	0	0.0000160934708788644	0.0000247102720600954	0.0000605436822667555	0.0000159000206700269	0.0000429120089256979	0.0000383327796376275	0	0	0.000014282449725777	0.0000312744331508991	0	0.0000673400673400673	0	0.0000422113098169436	0.00251913574266059	0	0	0.000647043742598674	0	0
"ASV18119|Treponema_2"	0.000905562742561449	0.000523450586264657	0.000271347763468242	0.000714521998015217	0.000610010117240969	0.000257340641807561	0.000296312259246289	0.000366941402280682	0.000194328387213192	0.000226685405993562	0.0000804673543943222	0.0000617756801502385	0.000211902887933644	0.000159000206700269	0.000171648035702791	0.000370550203163732	0.0000936753524535136	0.000270233752195649	0.000885511882998172	0.000218921032056294	0.000342114266164899	0.000202020202020202	0.000196648239998252	0.000239197422296014	0.000110731241435631	0.0000313656608744746	0.0000496111724360326	0.000439501410067024	0.0000118626776435977	0.0000791964203218015
"ASV18186|Treponema_2"	0	0	0.000208729048821725	0	0	0.000334542834349829	0	0.00019758383199729	0.0000277611981733132	0.000623384866482296	0	0.000333588672811288	0	0	0	0.000140553525337967	0	0	0.000671275137111517	0.0000312744331508991	0.0000456152354886532	0.0000336700336700337	0.000284047457775253	0.000168845239267774	0.000138414051794538	0.0000209104405829831	0	0	0	0
