""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV8548|Firmicutes"	0.000227650420015025	0.000117555780217713	0.0000248262164846077	0	0.000239536605548539	0.000300369685767098	0.000555978582738074	0.000521930757186213	0.000145023868511693	0.0000596789273707454	0	0.000259036040547775	0.00045118718628391	0.000228913907560402	0.000128541313178055	0.00034088054827945	0.000227085053674649	0.0000513760210984193	0.000144242327109544	0.000178091218322025	0.0000476371951219512	0.000183525525341816	0.000373479936657803	0.000426268815771946
"ASV5093|Flexilinea"	0.000113825210007512	0.000141066936261256	0.000173783515392254	0	0.000195984495448804	0.0000693160813308688	0.000157124382078151	0.000715238445032959	0.000290047737023385	0.0000198929757902485	0	0.0000345381387397033	0.000112796796570977	0.0000416207104655276	0.0000514165252712222	0.0000538232444651764	0.000144508670520231	0.0000171253403661398	0.0000961615514063627	0.0000356182436644049	0.0000158790650406504	0.000214113112898786	0.0000448175923989363	0.000106567203942987
"ASV5073|Flexilinea"	0.000250415462016527	0.000164578092304799	0.000173783515392254	0	0.000326640825748008	0.000242606284658041	0.00100317874711435	0.000869884595310356	0.000422986283159103	0.0000198929757902485	0.0000766792761476332	0.0000690762774794066	0.000253792792284699	0.000332965683724221	0.000154249575813667	0.000197351896372313	0.000474814203137903	0	0.000336565429922269	0.000195900340154227	0.000174669715447154	0.000290582081791209	0.000119513579730497	0.000226455308378846
"ASV5090|Flexilinea"	0	0	0	0	0	0.0000115526802218115	0.000193383854865417	0	0.00157109190887667	0	0	0	0.000366589588855677	0.0000208103552327638	0.000282790888991722	0	0	0	0.0000641077009375751	0	0.000190548780487805	0	0	0.00003996270147862
"ASV5081|Flexilinea"	0.00018212033601202	0.000446711964827311	0.00054617676266137	0	0.0000653281651496015	0.000265711645101664	0.000302162273227214	0.000135315381492722	0.000531754184542873	0.000537110346336708	0	0.00051807208109555	0	0.0000416207104655276	0.0000257082626356111	0.0000179410814883921	0.0000206440957886045	0	0.000208350028047119	0	0	0.000107056556449393	0	0.000133209004928733
"ASV11788|Ruminococcaceae"	0.000523595966034557	0.000376178496696683	0.000446871896722939	0	0.000827490091894952	0.000196395563770795	0.000447200164376277	0.000405946144478166	0.000555924829294821	0.000218822733692733	0.0000511195174317554	0.00051807208109555	0.000169195194856466	0.000228913907560402	0.000102833050542444	0.0000717643259535685	0.000144508670520231	0	0.000240403878515907	0.0000712364873288098	0.000127032520325203	0.0000917627626709082	0.0000896351847978727	0.000106567203942987
"ASV5629|Methanobrevibacter"	0.000341475630022537	0.000282133872522512	0.000099304865938431	0	0.000827490091894952	0.0000577634011090573	0.0031666606234212	0.000115984612708047	0.000145023868511693	0.0000795719031609939	0	0.0000172690693698517	0	0	0	0.0000717643259535685	0	0.0000685013614645591	0.000496834682266207	0	0	0.000351757256905148	0.0000149391974663121	0
"ASV5640|Methanobrevibacter"	0	0.00070533468130628	0.000719960278053625	0	0	0.000219500924214418	0.00172836820285966	0.000309292300554793	0.000314218381775334	0.000278501661063478	0	0	0.0000281991991427443	0.000104051776163819	0.0000514165252712222	0.0000179410814883921	0.000103220478943022	0	0.000400673130859845	0.0000356182436644049	0	0.000152937937784847	0.0000298783949326242	0
"ASV5627|Methanobrevibacter"	0.00106995697407062	0.00155173629887382	0.00215988083416087	0	0.00293976743173207	0.000981977818853974	0.00757822981253853	0.000927876901664379	0.00130521481660523	0.000815612007400187	0.00056231469174931	0.000224497901808072	0.000620382381140376	0.000478638170353568	0.000308499151627333	0.0015967562524669	0.000681255161023947	0.000119877382562978	0.00118599246734514	0.000320564192979644	0.00123856707317073	0.00177408007830422	0.000268905554393618	0.00138537365125883
"ASV5622|Methanobrevibacter"	0.0000682951260045075	0	0	0	0.000675057706545882	0.000935767097966728	0.0000846054365036199	0.0000579923063540237	0	0	0	0.000448995803616143	0.000281991991427443	0	0	0.0000538232444651764	0	0	0	0	0	0.000412932432019087	0.000224087961994682	0.0000133209004928733
"ASV18036|Treponema_2"	0.0055091401643636	0.00399689652740225	0.00369910625620655	0	0.00468185183572144	0.00255314232902033	0.00033842174601448	0.0020490614911755	0.00586138135234757	0.00119357854741491	0.000613434209181065	0.00613051962629734	0.000733179177711353	0.0014359145110607	0.000822664404339555	0.00084323082995443	0.00117671345995045	0.00131865120819276	0.000641077009375751	0.000926074335274528	0.000428734756097561	0.000581164163582418	0.00158355493142908	0.00249100839216731
