ASV,mean,region,LDA,pvalue,species
ASV15827_Kiritimatiellae_WCHB1_41,4.711844029,Laikipia,4.226255376,0.001987719,Zebra
ASV13215_Ruminococcaceae_UCG_005,4.185623322,Masai_Mara,3.834658237,0.001488141,Zebra
ASV4034_Prevotellaceae_UCG_004,4.139346906,Masai_Mara,3.770790219,0.022062821,Zebra
ASV18009_Treponema_2,3.995531907,Masai_Mara,3.636170923,0.042781884,Zebra
ASV15831_Kiritimatiellae_WCHB1_41,4.105344645,Laikipia,3.598543273,0.003991717,Zebra
ASV13216_Ruminococcaceae_UCG_005,3.899803885,Masai_Mara,3.548944521,0.033148813,Zebra
ASV15517_Ruminococcus_1,4.011546553,Masai_Mara,3.493115478,0.046511124,Zebra
ASV7943_Erysipelotrichaceae_UCG_004,3.775883817,Laikipia,3.434897421,0.004979696,Zebra
ASV7944_Erysipelotrichaceae_UCG_004,3.737933745,Laikipia,3.400602048,0.001216733,Zebra
ASV1855_Bacteroides,3.743707181,Masai_Mara,3.393190862,0.0304656,Zebra
ASV13217_Ruminococcaceae_UCG_005,3.70566269,Masai_Mara,3.377655459,0.007992094,Zebra
ASV17994_Treponema_2,3.837122953,Masai_Mara,3.325020737,0.042781884,Zebra
ASV13218_Ruminococcaceae_UCG_005,3.718970845,Masai_Mara,3.288281034,0.001987719,Zebra
ASV4418_Rikenellaceae_RC9,3.612196338,Masai_Mara,3.266226941,0.041317718,Zebra
ASV7945_Erysipelotrichaceae_UCG_004,3.644383722,Laikipia,3.244972234,0.032931315,Zebra
ASV2859_Bacteroidia,3.582463642,Laikipia,3.239749554,0.006898633,Zebra
ASV4413_Rikenellaceae_RC9,3.727271043,Laikipia,3.238835298,0.030158923,Zebra
ASV1849_Bacteroides,3.579796798,Masai_Mara,3.229312455,0.000163908,Zebra
ASV2914_Bacteroidia,3.451702258,Masai_Mara,3.219162859,0.004861012,Zebra
ASV4395_Rikenellaceae_RC9,3.764288517,Laikipia,3.197955666,0.042781884,Zebra
ASV4035_Prevotellaceae_UCG_004,3.525757827,Masai_Mara,3.196270345,0.0304656,Zebra
ASV5788_Fibrobacter,3.537074564,Laikipia,3.191949708,0.01725435,Zebra
ASV5920_Christensenellaceae_R_7_,3.759095461,Laikipia,3.169663795,0.004989147,Zebra
ASV15522_Ruminococcus_1,3.561762103,Laikipia,3.168255041,0.015635738,Zebra
ASV5789_Fibrobacter,3.570833423,Laikipia,3.153744726,0.030158923,Zebra
ASV15857_Kiritimatiellae_WCHB1_41,3.637928845,Laikipia,3.091867522,0.007685794,Zebra
ASV13579_Ruminococcaceae_UCG_010,3.443696483,Laikipia,3.06436312,0.002519586,Zebra
ASV2792_Bacteroidales_UCG_001,3.491209803,Laikipia,3.052822086,0.036001098,Zebra
ASV4451_Rikenellaceae_RC9,3.522535806,Laikipia,3.047563954,0.014193666,Zebra
ASV11150_Pseudobutyrivibrio,3.471455598,Masai_Mara,3.044773875,0.042781884,Zebra
ASV18019_Treponema_2,3.37227054,Masai_Mara,3.031066363,0.039224651,Zebra
ASV9137_Lachnospiraceae,3.388586609,Masai_Mara,3.030993733,0.001987719,Zebra
ASV15912_Kiritimatiellae_WCHB1_41,3.324795277,Laikipia,3.01132044,0.030015592,Zebra
ASV15878_Kiritimatiellae_WCHB1_41,3.407933555,Laikipia,2.981062021,0.030158923,Zebra
ASV13565_Ruminococcaceae_UCG_010,3.485783232,Laikipia,2.936790068,0.020879263,Zebra
ASV4499_Rikenellaceae_RC9,3.31893259,Laikipia,2.933268016,0.01725435,Zebra
ASV2448_Bacteroidales_BS11,3.482989618,Laikipia,2.918146438,0.014193666,Zebra
ASV4489_Rikenellaceae_RC9,3.361557281,Laikipia,2.903530571,0.014193666,Zebra
ASV18148_Treponema_2,3.215110927,Masai_Mara,2.902082085,0.033148813,Zebra
ASV13153_Ruminococcaceae_UCG_002,3.229026985,Masai_Mara,2.878934068,0.000304936,Zebra
ASV2177_Bacteroidales,3.133274755,Masai_Mara,2.835487812,0.000545643,Zebra
ASV4116_Alistipes,3.166973432,Masai_Mara,2.833645541,0.004861012,Zebra
ASV7958_Erysipelotrichaceae_UCG_004,3.137692728,Laikipia,2.8291984,0.001983221,Zebra
ASV12904_Papillibacter,3.145912604,Laikipia,2.823468851,0.001987719,Zebra
ASV11449_Ruminococcaceae,3.185881295,Masai_Mara,2.819990059,0.001983221,Zebra
ASV4115_Alistipes,3.181662741,Masai_Mara,2.81606915,0.0304656,Zebra
ASV8706_Agathobacter,3.221110086,Masai_Mara,2.814585404,0.000734441,Zebra
ASV2799_Bacteroidales_UCG_001,3.19164954,Laikipia,2.809429615,0.044897787,Zebra
ASV18173_Treponema_2,3.085035235,Masai_Mara,2.790402948,0.002295492,Zebra
ASV13743_Ruminococcaceae_UCG_010,3.09726164,Laikipia,2.76455197,0.001216733,Zebra
ASV9139_Lachnospiraceae,3.122131889,Masai_Mara,2.763611988,0.0304656,Zebra
ASV9144_Lachnospiraceae,3.133436361,Masai_Mara,2.762028781,0.039224651,Zebra
ASV18127_Treponema_2,3.11275445,Masai_Mara,2.757870603,0.042781884,Zebra
ASV7957_Erysipelotrichaceae_UCG_004,3.124443081,Laikipia,2.756730882,0.004989147,Zebra
ASV7955_Erysipelotrichaceae_UCG_004,3.126051064,Laikipia,2.752294663,0.000948725,Zebra
ASV4564_Rikenellaceae_RC9,3.067495936,Laikipia,2.751154357,0.033760681,Zebra
ASV5676_Methanocorpusculum,3.134948703,Laikipia,2.745823159,0.014193666,Zebra
ASV4549_Rikenellaceae_RC9,3.117488263,Laikipia,2.744325686,0.003991717,Zebra
ASV13220_Ruminococcaceae_UCG_005,3.107498955,Masai_Mara,2.743660565,0.0304656,Zebra
ASV15940_Kiritimatiellae_WCHB1_41,3.148482179,Laikipia,2.74093167,0.00947319,Zebra
ASV2020_Bacteroidales,3.200185869,Laikipia,2.729661058,0.025150792,Zebra
ASV5965_Christensenellaceae_R_7_,3.212703804,Laikipia,2.728401412,0.01725435,Zebra
ASV2803_Bacteroidales_UCG_001,3.018669745,Laikipia,2.718539032,0.018595706,Zebra
ASV4537_Rikenellaceae_RC9,3.129386244,Laikipia,2.714248743,0.032589297,Zebra
ASV2562_Bacteroidales_p_251_o5,3.188703525,Masai_Mara,2.711136414,0.042781884,Zebra
ASV392_Bacteria,3.112569583,Laikipia,2.708590399,0.046082909,Zebra
ASV2589_Bacteroidales_p_251_o5,3.029119786,Laikipia,2.701897876,0.004456602,Zebra
ASV16000_Kiritimatiellae_WCHB1_41,2.973828175,Laikipia,2.700892658,0.009816936,Zebra
ASV15906_Kiritimatiellae_WCHB1_41,3.224080025,Laikipia,2.698618817,0.025150792,Zebra
ASV2111_Bacteroidales,3.104517221,Masai_Mara,2.693223465,0.039224651,Zebra
ASV15938_Kiritimatiellae_WCHB1_41,3.132388269,Laikipia,2.689812764,0.014193666,Zebra
ASV13422_Ruminococcaceae_UCG_009,3.021574393,Masai_Mara,2.689351834,0.004861012,Zebra
ASV5711_Methanomethylophilus_Can,3.041783587,Laikipia,2.689210219,0.000948725,Zebra
ASV2478_Bacteroidales_F082,3.08131285,Laikipia,2.685435271,0.035839755,Zebra
ASV9162_Lachnospiraceae,3.131829219,Masai_Mara,2.681648173,0.042781884,Zebra
NA__7,3.010757967,Laikipia,2.675449437,0.006195577,Zebra
ASV13451_Ruminococcaceae_UCG_010,3.017726153,Masai_Mara,2.664975139,0.004861012,Zebra
ASV17038_Pirellulaceae_p_1088_a5,3.057417735,Masai_Mara,2.662969606,0.00042476,Zebra
ASV18142_Treponema_2,3.011195653,Masai_Mara,2.659174265,0.042781884,Zebra
ASV7968_Erysipelotrichaceae_UCG_004,3.006389761,Laikipia,2.655678445,0.011441742,Zebra
ASV13221_Ruminococcaceae_UCG_005,3.00220238,Masai_Mara,2.645385353,0.0304656,Zebra
ASV4570_Rikenellaceae_RC9,3.050430948,Laikipia,2.635977303,0.003178795,Zebra
ASV11431_Ruminococcaceae,2.995703661,Masai_Mara,2.635082664,0.028172074,Zebra
ASV9297_Lachnospiraceae,3.023758128,Laikipia,2.631966095,0.022899072,Zebra
ASV5672_Methanocorpusculum,2.98610291,Masai_Mara,2.627511705,0.0304656,Zebra
ASV18022_Treponema_2,2.963558001,Masai_Mara,2.625484998,0.004861012,Zebra
ASV7941_Erysipelotrichaceae_UCG_004,3.238973497,Laikipia,2.621066329,0.011622406,Zebra
ASV19295_Mycoplasma,3.029780612,Laikipia,2.61698338,0.011622406,Zebra
ASV2597_Bacteroidales_p_251_o5,2.888173261,Laikipia,2.594032325,0.001267214,Zebra
ASV4362_Rikenellaceae_RC9,2.93684306,Masai_Mara,2.590348276,2.63E-05,Zebra
ASV18413_Izimaplasmatales,3.065327449,Laikipia,2.588155007,0.00947319,Zebra
ASV18157_Treponema_2,2.938499091,Masai_Mara,2.563222204,0.038840755,Zebra
ASV18190_Treponema_2,2.823590268,Masai_Mara,2.545784026,0.017649456,Zebra
ASV2486_Bacteroidales_F082,2.885879709,Laikipia,2.539515089,0.037448264,Zebra
ASV5991_Christensenellaceae_R_7_,2.982548381,Laikipia,2.536485726,0.036001098,Zebra
ASV11609_Ruminococcaceae,2.874940118,Laikipia,2.532809536,0.01991523,Zebra
ASV8537_Firmicutes,2.856789438,Laikipia,2.526034525,0.003983801,Zebra
ASV4608_Rikenellaceae_RC9,2.879470735,Laikipia,2.522924945,0.000948725,Zebra
ASV3527_Prevotellaceae,2.829240844,Laikipia,2.519844173,0.009816936,Zebra
ASV16841_Victivallales,2.811770762,Laikipia,2.513289503,0.003771557,Zebra
ASV3851_Prevotellaceae_UCG_001,2.83479007,Masai_Mara,2.510431331,0.023399685,Zebra
ASV16350_Kiritimatiellae_WCHB1_41,2.684475464,Masai_Mara,2.505173259,0.022062821,Zebra
ASV7555_Anaerovorax,2.989411041,Laikipia,2.494603464,0.025150792,Zebra
ASV13782_Ruminococcaceae_UCG_010,2.991074374,Laikipia,2.491702322,0.030158923,Zebra
ASV16676_Oligosphaeraceae_Z20,2.850256132,Laikipia,2.487948737,0.002519586,Zebra
ASV13025_Ruminococcaceae_NK4A214,2.718033636,Masai_Mara,2.48586453,0.002411743,Zebra
ASV19298_Mycoplasma,2.808853731,Laikipia,2.484124512,0.002514125,Zebra
ASV18213_Treponema_2,2.747821195,Masai_Mara,2.481283917,0.027238657,Zebra
ASV9353_Lachnospiraceae,2.960712491,Masai_Mara,2.477008022,0.042781884,Zebra
ASV9609_Lachnospiraceae,2.847577565,Masai_Mara,2.4766392,0.014193666,Zebra
ASV7942_Erysipelotrichaceae_UCG_004,2.83179683,Laikipia,2.466661289,0.001560756,Zebra
ASV4594_Rikenellaceae_RC9,2.974495838,Laikipia,2.462246596,0.01725435,Zebra
ASV6546_Clostridiales,2.858786824,Laikipia,2.45944602,0.003556997,Zebra
ASV4576_Rikenellaceae_RC9,3.00704432,Laikipia,2.447877254,0.030158923,Zebra
ASV7990_Erysipelotrichaceae_UCG_004,2.77646563,Laikipia,2.447013142,0.018732214,Zebra
ASV13919_Ruminococcaceae_UCG_010,2.866028075,Laikipia,2.435984173,0.029444408,Zebra
ASV18013_Treponema_2,2.84469994,Masai_Mara,2.435911609,0.039224651,Zebra
ASV14038_Ruminococcaceae_UCG_010,2.750648762,Laikipia,2.433578294,0.017230108,Zebra
ASV4544_Rikenellaceae_RC9,2.944799063,Laikipia,2.431874973,0.032931315,Zebra
ASV13850_Ruminococcaceae_UCG_010,2.92753671,Laikipia,2.427712455,0.011622406,Zebra
ASV13055_Ruminococcaceae_NK4A214,2.881466599,Masai_Mara,2.423264225,0.049610623,Zebra
ASV5682_Methanocorpusculum,2.824907388,Laikipia,2.416790899,0.036001098,Zebra
ASV7986_Erysipelotrichaceae_UCG_004,2.794460147,Laikipia,2.40733363,0.011604279,Zebra
