Group,sample_date,sample_month,sample_year,species,species_short,tax_name,Order,Family,Genus,broad_diet,digestive_system,fermenter,diet_guild,region
LM0037,16-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0038,16-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0039,16-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0040,16-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0041,16-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0140,20-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0141,20-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0227,26-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0228,26-Jul-16,july,2016,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
BUF101,27-Oct-14,october,2014,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF102,27-Oct-14,october,2014,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF103,28-Oct-14,october,2014,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF104,1-Nov-14,november,2014,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF105,2-Nov-14,november,2014,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF109,4-Nov-14,november,2014,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF202,3-Mar-15,march,2015,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF203,8-Mar-15,march,2015,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF204,8-Mar-15,march,2015,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF205,8-Mar-15,march,2015,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
BUF209,13-Mar-15,march,2015,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
LM0028,16-Jul-16,july,2016,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
LM0077,18-Jul-16,july,2016,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
LM0083,19-Jul-16,july,2016,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
LM0088,19-Jul-16,july,2016,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
LM0115,19-Jul-16,july,2016,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
LM0162,22-Jul-16,july,2016,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
LM0163,22-Jul-16,july,2016,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,herbivore,ruminant,foregut,grazer,Laikipia
