"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"AN1",35402,32547,32302,31613,28842,24920
"AN100",54664,49431,49186,47999,43907,39720
"AN101",47828,42408,42125,41162,38868,36341
"AN102",973,780,776,605,338,299
"AN104",51046,45828,45600,44621,40468,35218
"AN105",46382,43388,43198,42192,39475,37518
"AN108",60635,54597,54161,52801,47748,43932
"AN109",59455,52714,52329,51063,46242,42556
"AN11",340,281,278,246,168,141
"AN110",31403,28478,28348,27456,24899,21704
"AN111",45454,42312,42152,41635,38376,33795
"AN112",48402,44741,44511,44092,40791,36396
"AN113",42783,39449,39251,38754,35934,31723
"AN115",57051,52858,52499,52018,49181,46684
"AN117",52420,48223,48026,47501,44156,38265
"AN119",50310,47489,47342,46732,43861,39008
"AN12",49777,45928,45725,44692,41266,36255
"AN120",677,580,576,516,432,405
"AN121",46652,42793,42581,42067,38730,33343
"AN122",50554,46571,46357,45566,43178,41416
"AN123",40803,37681,37482,37026,34138,29305
"AN127",154,112,112,65,26,21
"AN128",180,130,128,88,40,33
"AN129",47037,42672,42478,41911,39048,34248
"AN13",34523,31337,31081,30712,28510,27047
"AN130",24800,22357,22177,21965,20218,18346
"AN131",25113,22997,22821,22636,19927,16863
"AN132",48478,43709,43507,42770,40664,38660
"AN133",36837,33463,33271,32851,31310,29292
"AN134",59319,52364,51983,51312,47804,44345
"AN138",46451,43590,43322,42360,39787,37926
"AN139",75636,66227,65627,64263,60301,57049
"AN140",50614,46527,46365,45252,41691,35891
"AN144",52028,47406,47145,46065,42311,36451
"AN145",62054,55274,54857,53770,50193,47365
"AN146",58564,53971,53782,52690,48671,42882
"AN147",36647,33307,32952,32505,27315,19957
"AN148",48144,43743,43520,42639,38752,34560
"AN15",71430,64638,64357,63159,58688,50392
"AN150",83438,75943,75344,73629,64941,56996
"AN151",47154,43912,43663,42774,40340,38214
"AN152",55388,51220,51018,50052,46633,39989
"AN156",53694,49431,49252,48399,45836,41108
"AN157",56032,51981,51783,50817,47973,41729
"AN158",74484,68957,68617,67166,60654,50685
"AN159",174,141,141,97,35,30
"AN16",56306,51726,51390,50338,45083,40532
"AN160",49462,45336,45078,44468,42056,39751
"AN161",55077,50500,50137,49442,46145,43447
"AN162",46465,42284,42059,41410,37946,34264
"AN165",47110,42783,42589,42000,39125,33984
"AN166",478,416,414,355,268,231
"AN169",60042,55911,55224,55122,48910,39561
"AN17",41293,37617,37470,36815,34091,30534
"AN170",53343,49792,49402,48972,44387,40288
"AN171",71926,63149,62602,62300,58616,55227
"AN172",56883,53207,52972,52520,50143,47932
"AN173",52954,49148,48868,48636,45544,39373
"AN178",60365,56440,56024,55228,51394,49135
"AN179",62753,55601,55162,54392,50327,47400
"AN182",39525,36111,35881,35077,32161,30174
"AN184",70004,63429,63039,61651,54670,47307
"AN185",65025,59166,58802,57430,52270,46254
"AN186",66113,60218,59984,58557,52582,47420
"AN187",86441,78223,77615,76032,70811,66780
"AN188",52800,48141,47729,47044,41752,33999
"AN189",80368,73826,73026,72234,65734,58209
"AN190",60166,53916,52821,52541,44972,39621
"AN191",127,101,100,86,57,55
"AN192",94270,84868,84343,82901,76142,66067
"AN194",353,304,304,247,186,185
"AN195",65648,60183,59765,58552,54882,51957
"AN198",204,175,173,167,142,134
"AN199",84898,75552,75206,73829,70360,67429
"AN2",54478,49516,49245,48138,43952,38573
"AN20",53028,47978,47705,47031,44263,41988
"AN200",97110,87124,86777,85032,80546,75587
"AN201",84156,76189,75964,73828,70214,67225
"AN202",73769,66995,66666,65349,59855,50832
"AN203",67727,61588,61221,59934,55758,51797
"AN204",79035,72617,72245,70875,64935,54514
