Group,seq,input,filtered,denoisedF,denoisedR,merged,nonchim,per_retained
AN127,AN127_S87_L001_R1_001.fastq,154,47,47,42,19,18,0.116883117
AN159,AN159_S155_L001_R1_001.fastq,174,76,76,66,36,31,0.17816092
AN60,AN60_S32_L001_R1_001.fastq,214,89,89,83,40,34,0.158878505
AN128,AN128_S208_L001_R1_001.fastq,180,79,79,70,44,35,0.194444444
AN141,AN141_S78_L001_R1_001.fastq,167,82,82,80,47,41,0.245508982
AN44,AN44_S70_L001_R1_001.fastq,222,99,99,96,60,52,0.234234234
AN191,AN191_S135_L001_R1_001.fastq,127,82,81,78,63,60,0.472440945
AN83,AN83_S212_L001_R1_001.fastq,362,198,193,189,136,124,0.342541436
AN27,AN27_S82_L001_R1_001.fastq,353,196,194,187,137,129,0.365439093
AN198,AN198_S177_L001_R1_001.fastq,204,158,156,157,138,130,0.637254902
AN45,AN45_S62_L001_R1_001.fastq,399,204,202,194,151,132,0.330827068
AN11,AN11_S141_L001_R1_001.fastq,340,209,202,203,160,143,0.420588235
AN166,AN166_S29_L001_R1_001.fastq,478,328,326,316,258,217,0.453974895
AN194,AN194_S181_L001_R1_001.fastq,353,271,271,270,246,246,0.696883853
AN102,AN102_S132_L001_R1_001.fastq,973,502,501,476,327,299,0.30729702
AN154,AN154_S105_L001_R1_001.fastq,461,355,355,349,310,300,0.650759219
AN118,AN118_S110_L001_R1_001.fastq,679,473,473,466,381,328,0.483063328
AN36,AN36_S18_L001_R1_001.fastq,555,411,408,402,350,328,0.590990991
AN120,AN120_S184_L001_R1_001.fastq,677,477,470,467,368,342,0.505169867
AN175,AN175_S4_L001_R1_001.fastq,9108,8232,8164,8164,7366,6059,0.66523935
AN38,AN38_S89_L001_R1_001.fastq,17856,16047,15839,15917,13776,11075,0.620239695
AN55,AN55_S119_L001_R1_001.fastq,21423,19708,19421,19509,17044,13022,0.607851375
AN63,AN63_S169_L001_R1_001.fastq,22196,19598,19366,19462,17055,14219,0.640610921
AN61,AN61_S166_L001_R1_001.fastq,21892,19126,18999,18999,18087,17217,0.786451672
AN64,AN64_S107_L001_R1_001.fastq,27017,22368,22216,22241,19838,17395,0.64385387
AN131,AN131_S187_L001_R1_001.fastq,25113,22545,22280,22349,20109,17455,0.695058336
AN130,AN130_S38_L001_R1_001.fastq,24800,21720,21519,21566,20274,18741,0.755685484
AN49,AN49_S136_L001_R1_001.fastq,27155,24519,24376,24433,22632,19702,0.725538575
AN110,AN110_S80_L001_R1_001.fastq,31403,26760,26536,26573,24084,21169,0.674107569
AN147,AN147_S160_L001_R1_001.fastq,36647,32172,31628,31818,27221,21189,0.578191939
AN58,AN58_S66_L001_R1_001.fastq,32007,27634,27405,27461,24426,21428,0.669478552
AN25,AN25_S60_L001_R1_001.fastq,31528,27202,27050,27070,24733,21950,0.696206547
AN50,AN50_S211_L001_R1_001.fastq,34195,30775,30247,30440,26722,22865,0.66866501
AN9,AN9_S65_L001_R1_001.fastq,31792,28423,28245,28284,25583,22971,0.722540262
AN95,AN95_S129_L001_R1_001.fastq,37329,33171,32685,32854,28548,23673,0.634171824
AN135,AN135_S209_L001_R1_001.fastq,36463,32750,32323,32494,28668,24042,0.659353317
AN1,AN1_S130_L001_R1_001.fastq,35402,31105,30814,30884,28148,24423,0.689876278
AN59,AN59_S49_L001_R1_001.fastq,36461,31397,31169,31235,28410,24608,0.674912921
AN56,AN56_S68_L001_R1_001.fastq,33851,30016,29790,29870,27293,24864,0.734513013
AN181,AN181_S47_L001_R1_001.fastq,34370,29918,29748,29759,27321,24983,0.72688391
AN43,AN43_S207_L001_R1_001.fastq,37404,33105,32833,32822,28675,25186,0.673350444
AN153,AN153_S122_L001_R1_001.fastq,34946,31462,31169,31262,28778,25807,0.73848223
AN52,AN52_S74_L001_R1_001.fastq,32429,29746,29619,29682,27908,26161,0.806716211
AN149,AN149_S33_L001_R1_001.fastq,37214,32069,31810,31911,29212,26272,0.705970871
AN75,AN75_S37_L001_R1_001.fastq,33290,30642,30199,30331,28346,26423,0.793721838
AN80,AN80_S168_L001_R1_001.fastq,35659,31256,31080,31141,29156,26982,0.756667321
AN53,AN53_S53_L001_R1_001.fastq,35921,32325,32077,32144,29861,27208,0.757439938
AN29,AN29_S35_L001_R1_001.fastq,35947,31309,31091,31195,29304,27318,0.759952152
AN13,AN13_S161_L001_R1_001.fastq,34523,30446,30168,30251,28711,27451,0.795151059
