Group,sample_date,sample_month,species,species_short,tax_name,Order,Family,Genus,digestive_system,fermenter,diet_guild,coll_tim,time_cat,tmin,tmax,rain,tmin_two_weeks,tmax_two_weeks,rain_two_weeks
AN157,6-Jun-18,june,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,7:25,am,16.9,21.7,0,15.82,26.93,2.97
AN15,22-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,11:34,am,17.2,25,0.2,16.54,27.2,7
AN185,22-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,11:38,am,17.2,25,0.2,16.54,27.2,7
AN159,24-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,13:29,pm,16.9,26.2,8,16.64,26.86,6.13
AN47,24-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,13:27,pm,16.9,26.2,8,16.64,26.86,6.13
AN206,29-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,10:59,am,16.3,26.8,0.5,16.78,26.64,7.87
AN121,20-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,11:10,am,16.7,27.8,0.6,16.51,27.25,6.49
AN152,3-May-18,may,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,17:07,pm,17,27.9,9.1,16.8,27.07,10.37
AN204,3-May-18,may,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,17:09,pm,17,27.9,9.1,16.8,27.07,10.37
AN49,3-May-18,may,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,17:05,pm,17,27.9,9.1,16.8,27.07,10.37
AN51,3-May-18,may,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,17:06,pm,17,27.9,9.1,16.8,27.07,10.37
AN57,3-May-18,may,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,17:43,pm,17,27.9,9.1,16.8,27.07,10.37
AN147,2-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,10:58,am,16,28,0,16.51,28.87,2.4
AN71,2-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,10:52,am,16,28,0,16.51,28.87,2.4
AN75,2-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,10:56,am,16,28,0,16.51,28.87,2.4
AN117,12-May-18,may,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,17:57,pm,16.5,28.1,3,16.35,27.2,6.5
AN140,4-May-18,may,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,18:01,pm,16.5,28.2,1,16.88,27.02,9.63
AN31,4-Apr-18,april,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,ruminant,foregut,grazer,19:36,pm,17,29,0.3,16.51,29.09,2.24
AN203,6-Jun-18,june,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,7:33,am,16.9,21.7,0,15.82,26.93,2.97
AN105,20-May-18,may,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,7:53,am,16.9,25.7,2.3,16.19,27.38,5.21
AN182,20-May-18,may,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,7:55,am,16.9,25.7,2.3,16.19,27.38,5.21
AN87,3-Jun-18,june,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,18:32,pm,15.7,27,0,15.74,27.17,4.42
AN54,25-May-18,may,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,7:42,am,15.4,27.6,8.5,16.33,26.95,5.55
AN171,6-Apr-18,april,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,9:53,am,17,28.4,0.4,16.65,29.09,2.38
AN161,9-Apr-18,april,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,8:25,am,16.3,28.6,10.5,16.7,28.85,1.95
AN89,9-Apr-18,april,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,8:22,am,16.3,28.6,10.5,16.7,28.85,1.95
AN179,14-May-18,may,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,8:11,am,16.7,29.1,1.6,16.36,27.42,5.77
AN178,8-Apr-18,april,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,10:15,am,16.3,29.4,3.1,16.72,28.85,2.37
AN69,8-Apr-18,april,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,non-ruminant,hindgut,mixed_feeder,10:51,am,16.3,29.4,3.1,16.72,28.85,2.37
